Risk_W2,14-19,20-29,30+
14-19,73.8638985005767,17.20876585928489,8.927335640138407
20-29,39.7887323943662,38.90845070422535,21.30281690140845
30+,21.12676056338028,28.080985915492956,50.79225352112676
