task,model_variant,metric,value
regression_total_mean,no_drop,cv5_mae_mean,0.506432645780881
regression_total_mean,no_drop,test_median_class_acc_from_score,0.604982206405694
regression_total_mean,drop,alpha_selected,251.18864315095823
regression_total_mean,drop,n_features,28.0
regression_total_mean,drop,train_r2,0.218179386024969
regression_total_mean,drop,train_rmse,0.7475398185711142
regression_total_mean,drop,train_mae,0.5087491881610882
regression_total_mean,drop,test_r2,0.2141716689464369
regression_total_mean,drop,test_rmse,0.7379046194513874
regression_total_mean,drop,test_mae,0.4964545634136166
regression_total_mean,drop,cv5_r2_mean,0.20938482169388192
regression_total_mean,drop,cv5_rmse_mean,0.7489286423366248
regression_total_mean,drop,cv5_mae_mean,0.5083878266491315
regression_total_mean,drop,test_median_class_acc_from_score,0.602135231316726
regression_total_mean,drop_plus_enemy_ratio,alpha_selected,251.18864315095823
regression_total_mean,drop_plus_enemy_ratio,n_features,29.0
regression_total_mean,drop_plus_enemy_ratio,train_r2,0.21844694448798552
regression_total_mean,drop_plus_enemy_ratio,train_rmse,0.747411894264435
regression_total_mean,drop_plus_enemy_ratio,train_mae,0.5089328202887518
regression_total_mean,drop_plus_enemy_ratio,test_r2,0.2142472931703009
regression_total_mean,drop_plus_enemy_ratio,test_rmse,0.7378691124554233
regression_total_mean,drop_plus_enemy_ratio,test_mae,0.4965052784185473
regression_total_mean,drop_plus_enemy_ratio,cv5_r2_mean,0.2086619651485345
regression_total_mean,drop_plus_enemy_ratio,cv5_rmse_mean,0.7492698432829087
regression_total_mean,drop_plus_enemy_ratio,cv5_mae_mean,0.5087961942855258
regression_total_mean,drop_plus_enemy_ratio,test_median_class_acc_from_score,0.606405693950178
regression_total_mean,drop_plus_enemy_ratio_enemy_total,alpha_selected,251.18864315095823
regression_total_mean,drop_plus_enemy_ratio_enemy_total,n_features,30.0
regression_total_mean,drop_plus_enemy_ratio_enemy_total,train_r2,0.21896683280329932
regression_total_mean,drop_plus_enemy_ratio_enemy_total,train_rmse,0.7471632640860182
regression_total_mean,drop_plus_enemy_ratio_enemy_total,train_mae,0.5088414376905284
regression_total_mean,drop_plus_enemy_ratio_enemy_total,test_r2,0.21208765870703983
regression_total_mean,drop_plus_enemy_ratio_enemy_total,test_rmse,0.7388824300703601
regression_total_mean,drop_plus_enemy_ratio_enemy_total,test_mae,0.49760606831158527
regression_total_mean,drop_plus_enemy_ratio_enemy_total,cv5_r2_mean,0.20862216048988333
regression_total_mean,drop_plus_enemy_ratio_enemy_total,cv5_rmse_mean,0.7492900486443956
regression_total_mean,drop_plus_enemy_ratio_enemy_total,cv5_mae_mean,0.5088346234847345
regression_total_mean,drop_plus_enemy_ratio_enemy_total,test_median_class_acc_from_score,0.6056939501779359
