metric,no_drop,drop,drop_plus_enemy_ratio,drop_plus_enemy_ratio_enemy_total,delta_drop_minus_nodrop,delta_ratio_minus_drop,delta_ratio_total_minus_drop
alpha_selected,251.18864315095823,251.18864315095823,251.18864315095823,251.18864315095823,0.0,0.0,0.0
n_features,32.0,28.0,29.0,30.0,-4.0,1.0,2.0
train_r2,0.22116742182309446,0.21817938602496922,0.21844694448798574,0.21896683280329954,-0.0029880357981252326,0.0002675584630165151,0.0007874467783303141
train_rmse,10.44553918721867,10.465557459995598,10.463766519702089,10.460285697204254,0.02001827277692847,-0.0017909402935085694,-0.005271762791343448
train_mae,7.087034806514293,7.122488634255233,7.125059484042524,7.123780127667396,0.03545382774094019,0.0025708497872907188,0.0012914934121628363
test_r2,0.21476812180389027,0.21417166894643713,0.21424729317030078,0.21208765870703983,-0.0005964528574531336,7.56242238636462e-05,-0.002084010239397305
test_rmse,10.326743380687114,10.330664672319422,10.330167574375926,10.344354020985042,0.0039212916323077,-0.000497097943496172,0.013689348665620216
test_mae,6.931570127934143,6.9503638877906315,6.951073897859661,6.966484956362192,0.018793759856488457,0.0007100100690298206,0.016121068571560038
cv5_r2_mean,0.2106509574349013,0.2093848216938826,0.20866196514853455,0.2086221604898834,-0.0012661357410187202,-0.0007228565453480384,-0.0007626612039991765
cv5_rmse_mean,10.476156775378062,10.485000992712742,10.489777805960722,10.490060681021541,0.008844217334679882,0.004776813247980627,0.005059688308799437
cv5_mae_mean,7.090057040932335,7.117429573087838,7.123146719997358,7.123684728786283,0.027372532155503393,0.005717146909519855,0.006255155698444703
test_median_class_acc_from_score,0.604982206405694,0.602135231316726,0.606405693950178,0.6056939501779359,-0.002846975088968029,0.004270462633451988,0.003558718861209953
