scenario,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_edges_graph,edge_density,n_features_used,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_predict_w3,W2,W3,W2,54,21.0,0.526124488868696,6603,37759,0.0008661710550541066,117,0.6327024981074942,0.01101587873646101,0.6540594922755792,0.013251746136524896,0.6882736111430345,0.012795369075802162,5.6,1.9595917942265424
w2_self,W2,W2,W2,v55,17.0,0.5415720127214902,6603,37759,0.0008661710550541066,117,0.7209689629068887,0.010364021856245154,0.7401736286828393,0.010790616344791518,0.7884146876226085,0.008594053431662158,9.2,2.7856776554368237
w3_self,W3,W3,W3,54,21.0,0.526124488868696,6603,35759,0.0008202921358531687,119,0.6837244511733535,0.01023941766474542,0.695482949286381,0.012079393688390965,0.7499855195715632,0.008374601347437886,9.8,2.481934729198171
