year,student_id_src,student_id_dst,relation_type,source_column,nominated_seat,school_id,class
W2,s112011301024,s112011301025,online_friend,v14_1_01,2,11301,801
W2,s112011301025,s112011301031,online_friend,v14_1_01,9,11301,801
W2,s112011301028,s112011301025,online_friend,v14_1_01,2,11301,801
W2,s112011301031,s112011301025,online_friend,v14_1_01,2,11301,801
W2,s112011301032,s112011301040,online_friend,v14_1_01,18,11301,801
W2,s112011301034,s112011301025,online_friend,v14_1_01,2,11301,801
W2,s112011301037,s112011301033,online_friend,v14_1_01,11,11301,801
W2,s112011301038,s112011301040,online_friend,v14_1_01,18,11301,801
W2,s112011301039,s112011301024,online_friend,v14_1_01,1,11301,801
W2,s112011301040,s112011301038,online_friend,v14_1_01,16,11301,801
W2,s112011301042,s112011301047,online_friend,v14_1_01,26,11301,801
W2,s112011301043,s112011301025,online_friend,v14_1_01,2,11301,801
W2,s112011301044,s112011301043,online_friend,v14_1_01,22,11301,801
W2,s112011301045,s112011301044,online_friend,v14_1_01,23,11301,801
W2,s112011301046,s112011301049,online_friend,v14_1_01,28,11301,801
W2,s112011301047,s112011301048,online_friend,v14_1_01,27,11301,801
W2,s112011301048,s112011301047,online_friend,v14_1_01,26,11301,801
W2,s112011301052,s112011301046,online_friend,v14_1_01,25,11301,801
W2,s112011301055,s112011301047,online_friend,v14_1_01,26,11301,801
W2,s112011301056,s112011301045,online_friend,v14_1_01,24,11301,801
W2,s112011301061,s112011301062,online_friend,v14_1_01,2,11301,805
W2,s112011301062,s112011301072,online_friend,v14_1_01,14,11301,805
W2,s112011301063,s112011301061,online_friend,v14_1_01,1,11301,805
W2,s112011301064,s112011301075,online_friend,v14_1_01,17,11301,805
W2,s112011301065,s112011301069,online_friend,v14_1_01,11,11301,805
W2,s112011301067,s112011301061,online_friend,v14_1_01,1,11301,805
W2,s112011301068,s112011301070,online_friend,v14_1_01,12,11301,805
W2,s112011301069,s112011301075,online_friend,v14_1_01,17,11301,805
W2,s112011301071,s112011301074,online_friend,v14_1_01,16,11301,805
W2,s112011301072,s112011301062,online_friend,v14_1_01,2,11301,805
W2,s112011301073,s112011301076,online_friend,v14_1_01,18,11301,805
W2,s112011301074,s112011301071,online_friend,v14_1_01,13,11301,805
W2,s112011301075,s112011301062,online_friend,v14_1_01,2,11301,805
W2,s112011301076,s112011301070,online_friend,v14_1_01,12,11301,805
W2,s112011301078,s112011301080,online_friend,v14_1_01,22,11301,805
W2,s112011301079,s112011301090,online_friend,v14_1_01,35,11301,805
W2,s112011301080,s112011301067,online_friend,v14_1_01,9,11301,805
W2,s112011301081,s112011301083,online_friend,v14_1_01,27,11301,805
W2,s112011301086,s112011301084,online_friend,v14_1_01,28,11301,805
W2,s112011301087,s112011301069,online_friend,v14_1_01,11,11301,805
W2,s112011301088,s112011301079,online_friend,v14_1_01,21,11301,805
W2,s112011301090,s112011301079,online_friend,v14_1_01,21,11301,805
W2,s112011301094,s112011301087,online_friend,v14_1_01,31,11301,805
W2,s112011306023,s112011306045,online_friend,v14_1_01,23,11306,108
W2,s112011306034,s112011306058,online_friend,v14_1_01,36,11306,108
W2,s112011306038,s112011306029,online_friend,v14_1_01,7,11306,108
W2,s112011306039,s112011306044,online_friend,v14_1_01,22,11306,108
W2,s112011306045,s112011306023,online_friend,v14_1_01,1,11306,108
W2,s112011306054,s112011306055,online_friend,v14_1_01,34,11306,108
W2,s112011306055,s112011306054,online_friend,v14_1_01,32,11306,108
W2,s112011306057,s112011306055,online_friend,v14_1_01,34,11306,108
W2,s112011306058,s112011306043,online_friend,v14_1_01,21,11306,108
W2,s112011324028,s112011324040,online_friend,v14_1_01,17,11324,804
W2,s112011324030,s112011324032,online_friend,v14_1_01,9,11324,804
W2,s112011324032,s112011324030,online_friend,v14_1_01,7,11324,804
W2,s112011324037,s112011324030,online_friend,v14_1_01,7,11324,804
W2,s112011324042,s112011324061,online_friend,v14_1_01,39,11324,804
W2,s112011324043,s112011324037,online_friend,v14_1_01,14,11324,804
W2,s112011324044,s112011324050,online_friend,v14_1_01,28,11324,804
W2,s112011324046,s112011324049,online_friend,v14_1_01,27,11324,804
W2,s112011324048,s112011324049,online_friend,v14_1_01,27,11324,804
W2,s112011324049,s112011324046,online_friend,v14_1_01,24,11324,804
W2,s112011324051,s112011324061,online_friend,v14_1_01,39,11324,804
W2,s112011324052,s112011324041,online_friend,v14_1_01,18,11324,804
W2,s112011324053,s112011324048,online_friend,v14_1_01,26,11324,804
W2,s112011324054,s112011324051,online_friend,v14_1_01,29,11324,804
W2,s112011324055,s112011324059,online_friend,v14_1_01,37,11324,804
W2,s112011324056,s112011324044,online_friend,v14_1_01,22,11324,804
W2,s112011324057,s112011324052,online_friend,v14_1_01,30,11324,804
W2,s112011324059,s112011324049,online_friend,v14_1_01,27,11324,804
W2,s112011324062,s112011324048,online_friend,v14_1_01,26,11324,804
W2,s112011324063,s112011324043,online_friend,v14_1_01,20,11324,804
W2,s112014302024,s112014302033,online_friend,v14_1_01,10,14302,806
W2,s112014302031,s112014302033,online_friend,v14_1_01,10,14302,806
W2,s112014302033,s112014302031,online_friend,v14_1_01,8,14302,806
W2,s112014302043,s112014302031,online_friend,v14_1_01,8,14302,806
W2,s112014302050,s112014302046,online_friend,v14_1_01,36,14302,806
W2,s112014302054,s112014302050,online_friend,v14_1_01,40,14302,806
W2,s112014302059,s112014302057,online_friend,v14_1_01,1,14302,820
W2,s112014302061,s112014302057,online_friend,v14_1_01,1,14302,820
W2,s112014302062,s112014302059,online_friend,v14_1_01,3,14302,820
W2,s112014302063,s112014302064,online_friend,v14_1_01,8,14302,820
W2,s112014302064,s112014302057,online_friend,v14_1_01,1,14302,820
W2,s112014302073,s112014302080,online_friend,v14_1_01,41,14302,820
W2,s112014302075,s112014302077,online_friend,v14_1_01,38,14302,820
W2,s112014302077,s112014302057,online_friend,v14_1_01,1,14302,820
W2,s112014302078,s112014302085,online_friend,v14_1_01,46,14302,820
W2,s112014302080,s112014302073,online_friend,v14_1_01,34,14302,820
W2,s112014322024,s112014322030,online_friend,v14_1_01,7,14322,805
W2,s112014322025,s112014322024,online_friend,v14_1_01,1,14322,805
W2,s112014322026,s112014322031,online_friend,v14_1_01,8,14322,805
W2,s112014322027,s112014322044,online_friend,v14_1_01,23,14322,805
W2,s112014322028,s112014322030,online_friend,v14_1_01,7,14322,805
W2,s112014322029,s112014322049,online_friend,v14_1_01,28,14322,805
W2,s112014322030,s112014322024,online_friend,v14_1_01,1,14322,805
W2,s112014322031,s112014322039,online_friend,v14_1_01,18,14322,805
W2,s112014322032,s112014322026,online_friend,v14_1_01,3,14322,805
W2,s112014322034,s112014322031,online_friend,v14_1_01,8,14322,805
W2,s112014322035,s112014322028,online_friend,v14_1_01,5,14322,805
W2,s112014322039,s112014322040,online_friend,v14_1_01,19,14322,805
W2,s112014322040,s112014322039,online_friend,v14_1_01,18,14322,805
W2,s112014322041,s112014322042,online_friend,v14_1_01,21,14322,805
W2,s112014322042,s112014322041,online_friend,v14_1_01,20,14322,805
W2,s112014322044,s112014322027,online_friend,v14_1_01,4,14322,805
W2,s112014322045,s112014322039,online_friend,v14_1_01,18,14322,805
W2,s112014322046,s112014322041,online_friend,v14_1_01,20,14322,805
W2,s112014322047,s112014322039,online_friend,v14_1_01,18,14322,805
W2,s112014322048,s112014322041,online_friend,v14_1_01,20,14322,805
W2,s112014322049,s112014322027,online_friend,v14_1_01,4,14322,805
W2,s112014322055,s112014322056,online_friend,v14_1_01,5,14322,811
W2,s112014322056,s112014322055,online_friend,v14_1_01,4,14322,811
W2,s112014322057,s112014322059,online_friend,v14_1_01,8,14322,811
W2,s112014322058,s112014322056,online_friend,v14_1_01,5,14322,811
W2,s112014322059,s112014322076,online_friend,v14_1_01,27,14322,811
W2,s112014322060,s112014322055,online_friend,v14_1_01,4,14322,811
W2,s112014322062,s112014322064,online_friend,v14_1_01,13,14322,811
W2,s112014322064,s112014322057,online_friend,v14_1_01,6,14322,811
