"Column","Mean","Median","Min","Max","Q1","Q3","IQR"
"v55_1","1.4383250532292406","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_2","1.7707594038325054","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_3","1.69666430092264","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_4","1.3520227111426544","1.0","1.0","5.0","1.0","1.0","0.0"
"v55_5","1.2735273243435061","1.0","1.0","5.0","1.0","1.0","0.0"
"v55_6","1.3718949609652236","1.0","1.0","5.0","1.0","1.0","0.0"
"v55_7","1.550319375443577","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_8","1.9740241305890702","1.0","1.0","5.0","1.0","3.0","2.0"
"v55_9","1.4046841731724626","1.0","1.0","5.0","1.0","1.0","0.0"
"v55_10","1.6143364088005678","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_11","1.402555003548616","1.0","1.0","5.0","1.0","1.0","0.0"
"v55_12","1.494960965223563","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_13","1.6048261178140526","1.0","1.0","5.0","1.0","2.0","1.0"
"v55_14","1.578708303761533","1.0","1.0","5.0","1.0","2.0","1.0"
"TOTAL_SCORE","21.527608232789213","17.0","14.0","70.0","14.0","25.0","11.0"
