scenario,model_type,feature,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,ridge,v521,0.41277596878674133,6.585541701868483,negative
w2_predict_w2,ridge,v1,0.22819181649571155,3.6406352045509363,negative
w2_predict_w2,ridge,v54_2,0.18645587629869473,2.9747684985941625,positive
w2_predict_w2,ridge,v54_1,0.17537108833885515,2.797918732895695,positive
w2_predict_w2,ridge,v54_4,0.15692008230724033,2.503546291545061,negative
w2_predict_w2,ridge,v5_5,0.1270269958342277,2.0266237416587005,negative
w2_predict_w2,ridge,v25_6,0.12652098667576042,2.0185507319231575,negative
w2_predict_w2,ridge,v54_6,0.12651411534390955,2.0184411047988253,negative
w2_predict_w2,ridge,v28_6,0.12478058306336497,1.9907838524674533,positive
w2_predict_w2,ridge,v6_1,0.1214060520924315,1.9369456542345262,positive
w2_predict_w2,ridge,v42_14,0.11252733243761555,1.7952921109871998,negative
w2_predict_w2,ridge,v54_3,0.10693091745442536,1.7060053621459614,positive
w2_predict_w2,ridge,v34,0.10417725229000077,1.6620726283034306,positive
w2_predict_w2,ridge,v38,0.10402554514580993,1.659652250664983,positive
w2_predict_w2,ridge,v19_3,0.10229091784715663,1.6319775281125593,negative
w2_predict_w2,ridge,v54_12,0.09695752001871501,1.5468870275315934,negative
w2_predict_w2,ridge,v54_5,0.09585396350124423,1.529280582351333,negative
w2_predict_w2,ridge,v19_10,0.09428560735992024,1.5042585957215666,positive
w2_predict_w2,ridge,v54_8,0.09220061520242222,1.4709940555361716,negative
w2_predict_w2,ridge,v28_7,0.0912898301990146,1.4564631402820518,positive
w2_predict_w2,ridge,v54_20,0.08936188140283875,1.425704113215622,negative
w2_predict_w2,ridge,v49,0.08398942122052151,1.339990401062584,negative
w2_predict_w2,ridge,v19_9,0.08128527734252296,1.2968477434879313,positive
w2_predict_w2,ridge,v22_1,0.08059439783496156,1.285825261192305,positive
w2_predict_w2,ridge,v23_8,0.07829155329191997,1.2490850439366927,positive
w2_predict_w2,ridge,v54_10,0.07639348426323958,1.2188027269255064,negative
w2_predict_w2,ridge,v22_4,0.07516452174255879,1.1991955197671889,positive
w2_predict_w2,ridge,v28_10,0.07399276022967123,1.1805009132704811,positive
w2_predict_w2,ridge,v28_4,0.07346639466819166,1.172103131864408,positive
w2_predict_w2,ridge,v26_5,0.07322359851956395,1.1682294951153,positive
w2_predict_w2,ridge,v40,0.07133872970753015,1.1381577780027836,positive
w2_predict_w2,ridge,v26_4,0.07073520746501463,1.1285290176178868,positive
w2_predict_w2,ridge,v6_6,0.06900447214624249,1.100916388786388,positive
w2_predict_w2,ridge,v28_1,0.0681244918810483,1.0868769408255703,positive
w2_predict_w2,ridge,v26_2,0.06627520431397205,1.0573728967129161,positive
w2_predict_w2,ridge,v26_3,0.06267501352593478,0.9999344594923826,negative
w2_predict_w2,ridge,v25_13,0.06089303266901405,0.9715042452052572,positive
w2_predict_w2,ridge,v54_14,0.05938965458316196,0.9475189364016596,positive
w2_predict_w2,ridge,v27_3,0.058872892949751884,0.9392743787139859,negative
w2_predict_w2,ridge,v25_9,0.05836308674652156,0.9311407898785876,negative
w2_predict_w2,ridge,v42_03,0.05827209416962407,0.9296890691994981,negative
w2_predict_w2,ridge,v54_18,0.058214056951537696,0.9287631274081394,positive
w2_predict_w2,ridge,v25_4,0.055406390401009024,0.8839688405512885,negative
w2_predict_w2,ridge,v27_2,0.055331320811738915,0.8827711596103812,positive
w2_predict_w2,ridge,v19_7,0.05512130943002141,0.8794205800787461,negative
w2_predict_w2,ridge,v42_13,0.054693834004102694,0.8726005191818239,positive
w2_predict_w2,ridge,v42_09,0.05337807225510772,0.8516084931847712,positive
w2_predict_w2,ridge,v5_3,0.05246583198748627,0.8370543602438382,negative
w2_predict_w2,ridge,v23_2,0.052244043453094906,0.8335158847688154,positive
