scenario,feature_year,target_year,target_group_id,n_feature_groups_requested,n_feature_columns_requested,target_median_cutoff,target_positive_rate,model_type,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_na_features,c_selected,train_accuracy,train_f1,train_precision,train_recall,train_auc,test_accuracy,test_f1,test_precision,test_recall,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_precision_mean,cv5_precision_std,cv5_recall_mean,cv5_recall_std,cv5_auc_mean,cv5_auc_std
w2_predict_w2,W2,W2,v55,20,119,17.0,0.5404439147921942,lasso,6713,5370,1343,119,119,,0.06309573444801936,0.7491620111731844,0.7689140504374679,0.7656303382302699,0.7722260509993109,0.8257463974434442,0.7371556217423678,0.7557093425605537,0.7593880389429764,0.7520661157024794,0.8106205714132634,0.7403535248731348,0.008961696478770285,0.7605130364699794,0.011536573121858365,0.7578836226162271,0.004274684198917275,0.763498432601881,0.022500286255975274,0.8150948883622402,0.009046955537714615
w2_predict_w2,W2,W2,v55,20,119,17.0,0.5404439147921942,ridge,6713,5370,1343,119,119,,0.003981071705534973,0.7476722532588455,0.767621334247985,0.7640833048822123,0.7711922811853894,0.8265604004168589,0.7431124348473567,0.760914760914761,0.7656903765690377,0.756198347107438,0.8119935170178283,0.738566259003743,0.00889339777929693,0.7592911821499765,0.0108792795419483,0.7554059061987435,0.005309629638903888,0.7634984326018809,0.020791154712838652,0.8148125876518189,0.009296275055019149
w2_predict_w3,W2,W3,54,21,133,18.0,0.5088633993743483,lasso,6713,5370,1343,133,133,,0.025118864315095822,0.71024208566108,0.6969224776003117,0.7451062057476051,0.6545920234174899,0.7805023809751765,0.7021593447505584,0.6860282574568289,0.739424703891709,0.6398243045387995,0.7556568614401704,0.7047529109929169,0.0035268240506797065,0.6904269497492878,0.006797695343362266,0.7401054720162688,0.006132323896968512,0.6472532600412697,0.014717696056858406,0.7658234593644926,0.005046722354918073
w2_predict_w3,W2,W3,54,21,133,18.0,0.5088633993743483,ridge,6713,5370,1343,133,133,,0.001,0.7128491620111732,0.6990632318501171,0.7490589711417817,0.6553238199780461,0.7822158727700774,0.7021593447505584,0.6855345911949685,0.7402376910016978,0.6383601756954612,0.7580859842938907,0.7065401768623086,0.004220223403507124,0.6937467483240048,0.006840409428924893,0.7397037997023916,0.006810082115838476,0.653403029291139,0.01407599868322206,0.7666149010514489,0.005983206334710803
w3_predict_w3,W3,W3,54,20,118,18.0,0.5088633993743483,lasso,6713,5370,1343,118,117,3,0.1,0.7333333333333333,0.7338289962825278,0.7457499055534568,0.7222832052689352,0.8128635654532637,0.7066269545793,0.7072808320950966,0.717948717948718,0.6969253294289898,0.7903234393717555,0.7175644979265452,0.011454624445025924,0.7183652864249094,0.010926668898805378,0.7293203597490479,0.012834591455818237,0.707847644978723,0.012492975118530512,0.7967627448518667,0.016115881870245014
w3_predict_w3,W3,W3,54,20,118,18.0,0.5088633993743483,ridge,6713,5370,1343,118,117,3,0.00630957344480193,0.7344506517690875,0.7355341246290801,0.7457690861226025,0.725576289791438,0.8127379917165736,0.7051377513030529,0.7035928143712575,0.7197549770290965,0.6881405563689604,0.7911043080882026,0.715926929167411,0.014224535865981143,0.7155487800231881,0.014729210673967041,0.7294208729489424,0.01396195526825404,0.702289520776074,0.01744679950634917,0.7970848836828849,0.01657905437833412
