scenario,model_type,feature,shap_abs_mean,coef,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,ridge,v521,0.3375324944533422,-0.41277596878674133,0.41277596878674133,6.585541701868483,negative
w2_predict_w2,ridge,v1,0.22838783623740117,-0.22819181649571155,0.22819181649571155,3.6406352045509363,negative
w2_predict_w2,ridge,v54_2,0.16230175680459813,0.18645587629869473,0.18645587629869473,2.9747684985941625,positive
w2_predict_w2,ridge,v54_1,0.1564465576203804,0.17537108833885515,0.17537108833885515,2.797918732895695,positive
w2_predict_w2,ridge,v54_4,0.11425070393673623,-0.15692008230724033,0.15692008230724033,2.503546291545061,negative
w2_predict_w2,ridge,v25_6,0.10708851491681169,-0.12652098667576042,0.12652098667576042,2.0185507319231575,negative
w2_predict_w2,ridge,v6_1,0.10294589834230768,0.1214060520924315,0.1214060520924315,1.9369456542345262,positive
w2_predict_w2,ridge,v28_6,0.10271557034856549,0.12478058306336497,0.12478058306336497,1.9907838524674533,positive
w2_predict_w2,ridge,v54_6,0.09727314751754719,-0.12651411534390955,0.12651411534390955,2.0184411047988253,negative
w2_predict_w2,ridge,v54_3,0.09619882149176198,0.10693091745442536,0.10693091745442536,1.7060053621459614,positive
w2_predict_w2,ridge,v5_5,0.09599545055576808,-0.1270269958342277,0.1270269958342277,2.0266237416587005,negative
w2_predict_w2,ridge,v19_3,0.0909606794915925,-0.10229091784715663,0.10229091784715663,1.6319775281125593,negative
w2_predict_w2,ridge,v42_14,0.09064075066225374,-0.11252733243761555,0.11252733243761555,1.7952921109871998,negative
w2_predict_w2,ridge,v34,0.08416843367119976,0.10417725229000077,0.10417725229000077,1.6620726283034306,positive
w2_predict_w2,ridge,v19_10,0.08385689319875994,0.09428560735992024,0.09428560735992024,1.5042585957215666,positive
w2_predict_w2,ridge,v54_12,0.08146227520819979,-0.09695752001871501,0.09695752001871501,1.5468870275315934,negative
w2_predict_w2,ridge,v19_9,0.07401245106483828,0.08128527734252296,0.08128527734252296,1.2968477434879313,positive
w2_predict_w2,ridge,v54_5,0.07292565499969818,-0.09585396350124423,0.09585396350124423,1.529280582351333,negative
w2_predict_w2,ridge,v38,0.07225041697575509,0.10402554514580993,0.10402554514580993,1.659652250664983,positive
w2_predict_w2,ridge,v22_1,0.07130978988307357,0.08059439783496156,0.08059439783496156,1.285825261192305,positive
w2_predict_w2,ridge,v28_7,0.06865932000643804,0.0912898301990146,0.0912898301990146,1.4564631402820518,positive
w2_predict_w2,ridge,v54_8,0.0669500924204221,-0.09220061520242222,0.09220061520242222,1.4709940555361716,negative
w2_predict_w2,ridge,v22_4,0.06586813649597553,0.07516452174255879,0.07516452174255879,1.1991955197671889,positive
w2_predict_w2,ridge,v28_10,0.06245089101459579,0.07399276022967123,0.07399276022967123,1.1805009132704811,positive
w2_predict_w2,ridge,v23_8,0.06242489341685555,0.07829155329191997,0.07829155329191997,1.2490850439366927,positive
