student_id,class_before,class_after,class_changed,conversion_stage,class_original
s112193526041,802.0,802,False,numeric_integer,802.0
s112193526042,802.0,802,False,numeric_integer,802.0
s112193526043,802.0,802,False,numeric_integer,802.0
s112193526044,802.0,802,False,numeric_integer,802.0
s112193526046,802.0,802,False,numeric_integer,802.0
s112193526047,802.0,802,False,numeric_integer,802.0
s112193526048,802.0,802,False,numeric_integer,802.0
s112193526049,802.0,802,False,numeric_integer,802.0
s112193526050,802.0,802,False,numeric_integer,802.0
s112193526052,802.0,802,False,numeric_integer,802.0
s112193526053,802.0,802,False,numeric_integer,802.0
s112193526058,810.0,810,False,numeric_integer,810.0
s112193526059,810.0,810,False,numeric_integer,810.0
s112193526060,810.0,810,False,numeric_integer,810.0
s112193526061,810.0,810,False,numeric_integer,810.0
s112193526062,810.0,810,False,numeric_integer,810.0
s112193526063,810.0,810,False,numeric_integer,810.0
s112193526064,810.0,810,False,numeric_integer,810.0
s112193526065,810.0,810,False,numeric_integer,810.0
s112193526066,810.0,810,False,numeric_integer,810.0
s112193526068,810.0,810,False,numeric_integer,810.0
s112193526069,810.0,810,False,numeric_integer,810.0
s112193526070,810.0,810,False,numeric_integer,810.0
s112193526072,810.0,810,False,numeric_integer,810.0
s112193526073,810.0,810,False,numeric_integer,810.0
s112193526074,810.0,810,False,numeric_integer,810.0
s112193526075,810.0,810,False,numeric_integer,810.0
s112193526076,810.0,810,False,numeric_integer,810.0
s112193526078,810.0,810,False,numeric_integer,810.0
s112193526079,810.0,810,False,numeric_integer,810.0
s112193526080,810.0,810,False,numeric_integer,810.0
s112193526081,810.0,810,False,numeric_integer,810.0
s112193526082,810.0,810,False,numeric_integer,810.0
s112193526083,810.0,810,False,numeric_integer,810.0
s112193526084,810.0,810,False,numeric_integer,810.0
s112193526085,810.0,810,False,numeric_integer,810.0
s112193526086,810.0,810,False,numeric_integer,810.0
s112193526089,810.0,810,False,numeric_integer,810.0
s112193526090,810.0,810,False,numeric_integer,810.0
s112201304025,二年1班,201,,grade_year_class_pattern,二年1班
s112201304026,二年1班,201,,grade_year_class_pattern,二年1班
s112201304027,二年1班,201,,grade_year_class_pattern,二年1班
s112201304028,二年1班,201,,grade_year_class_pattern,二年1班
s112201304029,二年1班,201,,grade_year_class_pattern,二年1班
s112201304030,二年1班,201,,grade_year_class_pattern,二年1班
s112201304031,二年1班,201,,grade_year_class_pattern,二年1班
s112201304032,二年1班,201,,grade_year_class_pattern,二年1班
s112201304034,二年1班,201,,grade_year_class_pattern,二年1班
s112201304035,二年1班,201,,grade_year_class_pattern,二年1班
s112201304036,二年1班,201,,grade_year_class_pattern,二年1班
s112201304037,二年1班,201,,grade_year_class_pattern,二年1班
s112201304039,二年1班,201,,grade_year_class_pattern,二年1班
s112201304040,二年1班,201,,grade_year_class_pattern,二年1班
s112201304041,二年1班,201,,grade_year_class_pattern,二年1班
s112201304042,二年1班,201,,grade_year_class_pattern,二年1班
s112201304043,二年1班,201,,grade_year_class_pattern,二年1班
s112201304044,二年1班,201,,grade_year_class_pattern,二年1班
s112201304045,二年1班,201,,grade_year_class_pattern,二年1班
s112201304046,二年1班,201,,grade_year_class_pattern,二年1班
s112201304047,二年1班,201,,grade_year_class_pattern,二年1班
s112201304048,二年1班,201,,grade_year_class_pattern,二年1班
s112201304049,二年1班,201,,grade_year_class_pattern,二年1班
