model,n_features,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse
Ridge,145,0.2396,0.2064,0.1255,0.1317,0.1846,0.1927
Lasso,145,0.2277,0.2177,0.1271,0.1311,0.186,0.1913
