feature,coef,std_err,t,p_value,ci_low,ci_high,ttest_sig
v54_3,-0.0,0.004,-0.081,0.936,-0.008,0.008,
v22_3,-0.0,0.003,-0.007,0.994,-0.006,0.006,
v22_2,-0.0,0.004,-0.105,0.916,-0.008,0.007,
v36,0.0,0.003,0.067,0.947,-0.006,0.006,
v26_5,0.0,0.004,0.113,0.91,-0.007,0.008,
v23_2,-0.001,0.004,-0.317,0.752,-0.009,0.006,
v28_9,-0.001,0.003,-0.462,0.644,-0.008,0.005,
v28_10,-0.001,0.003,-0.246,0.806,-0.007,0.006,
v54_10,-0.001,0.004,-0.169,0.866,-0.008,0.006,
v54_9,-0.001,0.004,-0.176,0.86,-0.008,0.007,
v25_3,-0.001,0.004,-0.3,0.764,-0.009,0.006,
v25_10,-0.001,0.004,-0.319,0.75,-0.009,0.007,
v19_8,-0.001,0.003,-0.54,0.589,-0.007,0.004,
v19_1,-0.001,0.003,-0.297,0.767,-0.007,0.005,
v42_01,-0.001,0.004,-0.405,0.685,-0.008,0.006,
v52_1,-0.002,0.004,-0.496,0.62,-0.011,0.007,
v25_2,-0.002,0.004,-0.459,0.646,-0.009,0.006,
v26_6,-0.002,0.004,-0.547,0.584,-0.009,0.005,
v28_6,-0.002,0.004,-0.455,0.649,-0.009,0.005,
v55_4,-0.002,0.004,-0.491,0.623,-0.01,0.006,
v5_1,-0.002,0.003,-0.544,0.586,-0.009,0.005,
v23_3,-0.002,0.003,-0.576,0.564,-0.009,0.005,
v22_1,-0.002,0.004,-0.53,0.596,-0.009,0.005,
v521,-0.002,0.003,-0.747,0.455,-0.008,0.004,
v54_11,-0.002,0.004,-0.493,0.622,-0.009,0.005,
v42_07,-0.003,0.006,-0.543,0.587,-0.014,0.008,
v25_14,-0.003,0.004,-0.714,0.475,-0.012,0.006,
v25_4,-0.003,0.004,-0.805,0.421,-0.012,0.005,
v34,-0.003,0.003,-1.101,0.271,-0.009,0.003,
v23_9,-0.003,0.003,-0.999,0.318,-0.008,0.003,
v25_13,-0.003,0.004,-0.886,0.375,-0.011,0.004,
v27_4,-0.003,0.003,-0.922,0.357,-0.009,0.003,
v50,-0.003,0.004,-0.718,0.473,-0.011,0.005,
v5_4,-0.003,0.003,-0.853,0.394,-0.009,0.003,
v57_2,-0.004,0.006,-0.605,0.545,-0.015,0.008,
v26_2,-0.004,0.004,-0.92,0.358,-0.011,0.004,
v19_7,-0.004,0.003,-1.35,0.177,-0.01,0.002,
v54_14,-0.004,0.004,-1.259,0.208,-0.011,0.002,
v42_02,-0.004,0.004,-1.075,0.282,-0.011,0.003,
v42_14,-0.004,0.005,-0.877,0.38,-0.014,0.005,
v28_4,-0.004,0.004,-0.903,0.367,-0.011,0.004,
v54_16,-0.004,0.004,-1.191,0.234,-0.012,0.003,
v52_2,-0.005,0.004,-1.051,0.293,-0.013,0.004,
v22_5,-0.005,0.003,-1.666,0.096,-0.01,0.001,
v23_4,-0.005,0.004,-1.215,0.225,-0.013,0.003,
v25_5,-0.005,0.005,-1.024,0.306,-0.013,0.004,
v25_6,-0.005,0.004,-1.263,0.207,-0.013,0.003,
v49,-0.005,0.003,-1.568,0.117,-0.011,0.001,
v40,-0.005,0.003,-1.549,0.121,-0.012,0.001,
v54_5,-0.005,0.004,-1.078,0.281,-0.013,0.004,
v28_7,-0.005,0.003,-1.376,0.169,-0.012,0.002,
v19_2,-0.006,0.003,-1.617,0.106,-0.012,0.001,
v57_4,-0.006,0.005,-1.215,0.224,-0.017,0.004,
v6_4,-0.007,0.004,-2.078,0.038,-0.014,-0.0,Y
v38,-0.007,0.003,-2.032,0.042,-0.013,-0.0,Y
v5_5,-0.007,0.004,-1.597,0.11,-0.015,0.002,
v54_6,-0.007,0.004,-1.823,0.068,-0.015,0.001,
v57_3,-0.012,0.006,-1.873,0.061,-0.024,0.001,
