column,min,max,median,avg,p22,p75
student_oid,,,,,,
student_id,,,,,,
qb_code,,,,,,
q_name,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0
school_id,11301.0,714502.0,104506.0,148629.057,34557.0,191313.0
school_name,,,,,,
class,2.0,829.0,803.0,678.177,801.0,809.0
status,0.0,0.0,0.0,0.0,0.0,0.0
name,111119.0,6.96969696969697e+29,2.7722373727727272e+29,3.1285429288106062e+29,619396008.74,5.900780301583333e+29
cell,-977626273.0,9030092454.0,936037893.0,933138659.773,910980648.56,971601101.0
cell_who,1.0,3.0,1.0,1.336,1.0,2.0
email,3.142,9.44454454554444e+49,6351910.5,5.862229112586217e+48,508649.04,944076401.25
v1,1.0,2.0,2.0,1.507,1.0,2.0
v2,0.0,1.0,0.375,0.425,0.375,0.375
v3,0.0,1.0,0.556,0.543,0.444,0.667
v4_1,0.0,1.0,0.667,0.708,0.667,1.0
v4_2,0.0,1.0,0.667,0.6,0.333,0.667
v4_3,0.0,1.0,0.667,0.699,0.667,1.0
v5_1,0.0,1.0,0.667,0.734,0.667,1.0
v5_2,0.0,1.0,0.667,0.745,0.667,1.0
v5_3,0.0,1.0,0.667,0.677,0.333,1.0
v5_4,0.0,1.0,0.667,0.755,0.667,1.0
v5_5,0.0,1.0,0.667,0.682,0.333,1.0
v5_6,0.0,1.0,0.667,0.731,0.667,1.0
v6_1,0.0,1.0,0.333,0.475,0.333,0.667
v6_2,0.0,1.0,0.667,0.671,0.333,1.0
v6_3,0.0,1.0,0.667,0.738,0.667,1.0
v6_4,0.0,1.0,0.667,0.688,0.333,1.0
v6_5,0.0,1.0,0.0,0.154,0.0,0.333
v6_6,0.0,1.0,0.333,0.316,0.0,0.333
v6_7,0.0,1.0,0.667,0.681,0.333,1.0
v6_8,0.0,1.0,0.333,0.354,0.0,0.667
v6_9,0.0,1.0,0.0,0.218,0.0,0.333
v6_10,0.0,1.0,0.667,0.653,0.333,1.0
v7a_1,0.0,1.0,0.667,0.525,0.333,0.667
v7a_2,0.0,1.0,0.667,0.569,0.333,0.667
v7a_3,0.0,1.0,0.333,0.458,0.0,0.667
v7a_4,0.0,1.0,1.0,0.8,0.667,1.0
v7a_5,0.0,1.0,1.0,0.805,0.667,1.0
v7a_6,0.0,1.0,1.0,0.824,0.667,1.0
v7b_1,0.0,1.0,0.333,0.286,0.0,0.333
v7b_2,0.0,1.0,0.333,0.389,0.333,0.667
v7b_3,0.0,1.0,0.333,0.271,0.0,0.333
v7b_4,0.0,1.0,0.667,0.687,0.667,1.0
v7b_5,0.0,1.0,0.667,0.691,0.667,1.0
v7b_6,0.0,1.0,0.667,0.722,0.667,1.0
v8_01,0.0,1.0,0.0,0.266,0.0,1.0
v8_02,0.0,1.0,1.0,0.619,0.0,1.0
v8_03,0.0,1.0,0.0,0.37,0.0,1.0
v8_04,0.0,1.0,0.0,0.022,0.0,0.0
v8_05,0.0,1.0,0.0,0.49,0.0,1.0
v8_06,0.0,1.0,0.0,0.075,0.0,0.0
v8_07,0.0,1.0,0.0,0.293,0.0,1.0
v8_08,0.0,1.0,0.0,0.354,0.0,1.0
v8_09,0.0,1.0,0.0,0.417,0.0,1.0
v8_10,0.0,1.0,0.0,0.084,0.0,0.0
v8_11,0.0,1.0,0.0,0.053,0.0,0.0
v8_12,0.0,1.0,0.0,0.136,0.0,0.0
v8_13,0.0,1.0,0.0,0.15,0.0,0.0
v9_1,0.0,1.0,0.667,0.59,0.333,0.667
v9_2,0.0,1.0,0.333,0.305,0.0,0.333
v9_3,0.0,1.0,0.667,0.579,0.333,0.667
v10_1,0.0,1.0,0.0,0.219,0.0,0.333
v10_2,0.0,1.0,0.333,0.284,0.0,0.333
v11_1,0.0,1.0,0.667,0.673,0.667,1.0
v11_2,0.0,1.0,0.667,0.553,0.333,0.667
v12_1,0.0,1.0,0.667,0.704,0.667,1.0
v12_2,0.0,1.0,0.667,0.73,0.667,1.0
v12_3,0.0,1.0,0.667,0.651,0.333,0.667
v13,1.0,56.0,15.0,16.02,7.0,23.0
v14_1_01,0.0,60.0,11.0,13.048,3.0,21.0
v14_1_02,0.0,60.0,12.0,13.707,4.0,22.0
v14_1_03,0.0,60.0,12.0,13.918,3.0,22.0
v14_1_04,0.0,60.0,12.0,13.16,0.0,22.0
v14_1_05,0.0,60.0,9.0,12.162,0.0,22.0
v14_2_01,0.0,60.0,3.0,8.328,0.0,14.0
v14_2_02,0.0,60.0,1.0,7.96,0.0,14.0
v14_2_03,0.0,60.0,0.0,7.584,0.0,14.0
v14_2_04,0.0,60.0,0.0,6.74,0.0,12.0
v14_2_05,0.0,60.0,0.0,5.888,0.0,8.0
v14_3_01,0.0,60.0,10.0,12.285,2.0,19.0
v14_3_02,0.0,60.0,12.0,13.821,4.0,21.0
v14_3_03,0.0,60.0,13.0,14.677,5.0,23.0
v14_3_04,0.0,60.0,13.0,14.602,3.0,23.0
v14_3_05,0.0,60.0,12.0,13.347,0.0,23.0
v14_4_01,0.0,60.0,4.0,8.273,0.0,13.0
v14_4_02,0.0,60.0,4.0,8.601,0.0,14.0
v14_4_03,0.0,60.0,0.0,8.342,0.0,15.0
v14_4_04,0.0,60.0,0.0,7.898,0.0,15.0
v14_4_05,0.0,60.0,0.0,6.762,0.0,11.0
v15,0.0,1.0,0.5,0.416,0.25,0.5
v16,0.0,1.0,0.4,0.405,0.2,0.6
v17,0.0,1.0,0.0,0.315,0.0,1.0
v17_01,0.0,1.0,1.0,0.822,1.0,1.0
v17_02,0.0,1.0,1.0,0.75,0.0,1.0
v17_03,0.0,1.0,1.0,0.548,0.0,1.0
v17_04,0.0,1.0,0.0,0.171,0.0,0.0
v17_05,0.0,1.0,0.0,0.087,0.0,0.0
v17_06,0.0,1.0,0.0,0.009,0.0,0.0
v17_07,0.0,1.0,0.0,0.027,0.0,0.0
v18_1,0.0,1.0,0.444,0.51,0.222,0.778
v18_2,0.0,1.0,0.556,0.595,0.444,0.778
v18_3,0.0,1.0,0.444,0.526,0.333,0.778
v18_4,0.0,1.0,0.444,0.438,0.111,0.667
v19_1,0.0,1.0,1.0,0.807,0.667,1.0
v19_2,0.0,1.0,0.667,0.713,0.667,1.0
v19_3,0.0,1.0,0.667,0.576,0.333,0.667
v19_4,0.0,1.0,0.667,0.586,0.333,1.0
v19_5,0.0,1.0,0.333,0.459,0.0,0.667
v19_6,0.0,1.0,0.0,0.232,0.0,0.333
v19_7,0.0,1.0,0.667,0.494,0.333,0.667
v19_8,0.0,1.0,0.667,0.751,0.667,1.0
v19_9,0.0,1.0,0.667,0.584,0.333,1.0
v19_10,0.0,1.0,0.333,0.45,0.0,0.667
v20_1_1,0.0,1.0,0.25,0.354,0.0,0.5
v20_1_2,0.0,1.0,0.25,0.352,0.0,0.75
v20_1_3,0.0,1.0,0.5,0.427,0.25,0.75
v20_1_4,0.0,1.0,0.25,0.269,0.0,0.5
v20_1_5,0.0,1.0,0.25,0.247,0.0,0.5
v20_1_6,0.0,1.0,0.25,0.28,0.0,0.5
v20_1_7,0.0,1.0,0.5,0.519,0.25,0.75
v20_1_8,0.0,1.0,0.5,0.447,0.25,0.75
v20_1_9,0.0,1.0,0.25,0.338,0.0,0.5
v20_1_10,0.0,1.0,0.0,0.144,0.0,0.25
v20_1_11,0.0,1.0,0.25,0.24,0.0,0.5
v20_1_12,0.0,1.0,0.0,0.164,0.0,0.25
v20_2_1,0.0,1.0,0.5,0.404,0.0,0.75
v20_2_2,0.0,1.0,0.5,0.396,0.0,0.75
v20_2_3,0.0,1.0,0.5,0.431,0.25,0.75
v20_2_4,0.0,1.0,0.25,0.295,0.0,0.5
v20_2_5,0.0,1.0,0.25,0.234,0.0,0.5
v20_2_6,0.0,1.0,0.25,0.308,0.0,0.5
v20_2_7,0.0,1.0,0.75,0.561,0.25,0.75
v20_2_8,0.0,1.0,0.5,0.477,0.25,0.75
v20_2_9,0.0,1.0,0.25,0.357,0.0,0.5
v20_2_10,0.0,1.0,0.0,0.159,0.0,0.25
v20_2_11,0.0,1.0,0.25,0.271,0.0,0.5
v20_2_12,0.0,1.0,0.0,0.177,0.0,0.25
v21_1,0.0,1.0,0.182,0.196,0.091,0.273
v21_2,0.0,1.0,0.091,0.136,0.0,0.182
v21_3,0.0,1.0,0.273,0.336,0.091,0.545
v21_4,0.0,1.0,0.273,0.354,0.091,0.455
v21_5,0.0,1.0,0.182,0.252,0.091,0.364
v21_6,0.0,1.0,0.182,0.279,0.091,0.364
v22_1,0.0,1.0,0.333,0.465,0.0,0.667
