scenario,setting,feature,importance_mean,importance_std
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_offline_friend,7.389615464181709e-05,0.00010785551823545516
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_reciprocal_friend_count,7.263199025451251e-05,0.0003325992913420692
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_sent_like_ratio,6.079481462758496e-05,0.0001401874924510843
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_friend_total_rate_class,5.792171374727761e-05,0.0001611390711995226
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_offline_enemy_rate_class,5.1371043740144895e-05,7.610114804656582e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_offline_friend_rate_class,4.9762107247181e-05,0.0002737675539246383
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_friend_online_minus_offline,4.217712092310366e-05,6.0965115547943016e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_enemy_online_minus_offline,3.2293653894827076e-05,2.0253710634217084e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_enemy_total_rate_class,2.2180338796101706e-05,8.037874439496334e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_online_friend_rate_class,2.2180338796096156e-05,3.917055548705689e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_friend_total,2.0111706162273534e-05,0.00011044881414313043
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_online_friend,-3.447721056337727e-06,8.992172365802744e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_online_enemy,-1.8043073528345444e-05,4.702780830523862e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_received_net,-2.436389546506268e-05,2.2735215976961838e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_online_friend_rate_class,-2.4593743535494818e-05,2.4745789547484546e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_online_enemy_rate_class,-2.919070494394882e-05,9.867177153285595e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_enemy_online_minus_offline_rate_class,-3.0110097225694023e-05,2.362967841234538e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_enemy_total,-3.5511526880671605e-05,4.349218082906281e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_class_size_minus1,-4.206219688782653e-05,0.00015907595488598336
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_same_target_friend_and_enemy_count_rate_class,-4.321143723994281e-05,0.00016113907119956052
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_class_size,-4.4130829521632495e-05,0.00015869107618027978
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_offline_enemy,-4.7118854437172564e-05,4.126717117930462e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_sent_net,-6.7000712528964e-05,7.431338603790373e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_online_enemy_rate_class,-7.504539499384456e-05,4.970926190552862e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_same_target_friend_and_enemy_count,-7.757372376854255e-05,0.00017939914296257386
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_offline_friend,-8.711241869118757e-05,5.5601858764397516e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_reciprocal_friend_count_rate_class,-9.113475992361675e-05,0.0005007345984361453
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_friend_total_rate_class,-9.182430413490206e-05,5.513228307637683e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_enemy_by_me_but_likes_me_count,-0.00012262394557193134,0.000223760697129145
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_liked_by_me_but_enemy_to_me_count_rate_class,-0.00014285057576937654,5.097901182889345e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_online_enemy,-0.0001444595122623349,0.00010697020298249293
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_friend_online_minus_offline_rate_class,-0.00015572206771318208,0.0002604431955501024
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_friend_total,-0.00015985933298083842,0.00013573783809681081
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_enemy_by_me_but_likes_me_count_rate_class,-0.0001741099133472257,0.0003174657646355563
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_enemy_total,-0.0001834187601994497,0.0001145086385613654
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_enemy_total_rate_class,-0.00018594708897411993,8.999337163752988e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_offline_friend_rate_class,-0.0001947962396855074,0.0001599383805123814
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_enemy_online_minus_offline,-0.0002119199209322131,7.639674107641576e-05
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_offline_enemy,-0.0002189302870801879,0.00011483867241386851
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_friend_online_minus_offline,-0.0002291585262141127,0.00017438047628700996
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_online_friend,-0.0002442135748269958,0.00018426573754834653
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_offline_enemy_rate_class,-0.00027282965959494197,0.0001203932257228922
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_out_friend_online_minus_offline_rate_class,-0.0003190291217504859,0.0003632498427466767
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_in_enemy_online_minus_offline_rate_class,-0.00039602822534301474,0.00021108276218069312
w2_predict_w3,baseline_no_drop_plus_interpersonal,ip_liked_by_me_but_enemy_to_me_count,-0.0007610269611785958,0.0005243987126875104
w2_predict_w3,interpersonal_only,ip_out_offline_enemy_rate_class,0.002614636725124714,0.0019357062253588216
w2_predict_w3,interpersonal_only,ip_out_enemy_total_rate_class,0.0022232054611901753,0.001782838582818014
w2_predict_w3,interpersonal_only,ip_class_size,0.002102190452111158,0.001245792741224785
w2_predict_w3,interpersonal_only,ip_class_size_minus1,0.002094720389822363,0.0012457984396310666
w2_predict_w3,interpersonal_only,ip_out_online_enemy_rate_class,0.001398625508538881,0.001598899984809649
w2_predict_w3,interpersonal_only,ip_out_offline_enemy,0.0013778242581653777,0.0015349242225532315
w2_predict_w3,interpersonal_only,ip_reciprocal_friend_count_rate_class,0.0011093617119084464,0.0016669012907963505
w2_predict_w3,interpersonal_only,ip_out_offline_friend_rate_class,0.001047417656928773,0.0008715101430727192
w2_predict_w3,interpersonal_only,ip_enemy_by_me_but_likes_me_count_rate_class,0.001006504700393085,0.000766269446939941
w2_predict_w3,interpersonal_only,ip_out_enemy_total,0.000925023559427246,0.0012829129108875299
w2_predict_w3,interpersonal_only,ip_out_friend_online_minus_offline_rate_class,0.0009245638632863762,0.0009210812270298023
w2_predict_w3,interpersonal_only,ip_out_enemy_online_minus_offline,0.0008330843312570502,0.0010580250162402483
w2_predict_w3,interpersonal_only,ip_enemy_by_me_but_likes_me_count,0.0008118233847426992,0.0010717213406622277
w2_predict_w3,interpersonal_only,ip_sent_like_ratio,0.0008084905877215276,0.001141619959072403
w2_predict_w3,interpersonal_only,ip_in_friend_online_minus_offline,0.0007274691428965751,0.001269965085844812
w2_predict_w3,interpersonal_only,ip_reciprocal_enemy_count_rate_class,0.0007142528788471048,0.0013200905021281504
w2_predict_w3,interpersonal_only,ip_reciprocal_enemy_count,0.0006670191003746772,0.001245546163445163
w2_predict_w3,interpersonal_only,ip_out_enemy_online_minus_offline_rate_class,0.000593352793803309,0.0009474925377881982
w2_predict_w3,interpersonal_only,ip_out_online_enemy,0.00046820051945666296,0.001114787808490661
w2_predict_w3,interpersonal_only,ip_reciprocal_friend_count,0.00041326683062499204,0.0008403760962513822
w2_predict_w3,interpersonal_only,ip_in_offline_friend,0.0003862596823499986,0.0004578775915859923
w2_predict_w3,interpersonal_only,ip_liked_by_me_but_enemy_to_me_count,0.0003846507458570181,0.00044062557025848886
w2_predict_w3,interpersonal_only,ip_out_friend_total_rate_class,0.0003332797021169176,0.0003531823341833198
w2_predict_w3,interpersonal_only,ip_in_enemy_online_minus_offline,0.0002482359160595082,0.00031743092019587995
w2_predict_w3,interpersonal_only,ip_sent_net,0.00023881214517207928,0.002361760661973476
w2_predict_w3,interpersonal_only,ip_in_enemy_online_minus_offline_rate_class,0.00016618015491761672,0.00016242324120205963
w2_predict_w3,interpersonal_only,ip_in_friend_online_minus_offline_rate_class,0.0001480221573540108,0.0010251034288794952
w2_predict_w3,interpersonal_only,ip_received_net,3.18339577539406e-05,9.674194427885234e-05
w2_predict_w3,interpersonal_only,ip_out_offline_friend,1.574459282416285e-05,0.0004911935948294206
w2_predict_w3,interpersonal_only,ip_in_offline_friend_rate_class,1.0687935274805715e-05,0.0006095990619634633
w2_predict_w3,interpersonal_only,ip_liked_by_me_but_enemy_to_me_count_rate_class,-2.5283287746369345e-06,0.00014694987256413526
w2_predict_w3,interpersonal_only,ip_in_friend_total_rate_class,-2.6892224239755124e-05,0.0010329905463445166
w2_predict_w3,interpersonal_only,ip_same_target_friend_and_enemy_count_rate_class,-5.2405360056967386e-05,0.0001687648402912172
w2_predict_w3,interpersonal_only,ip_in_friend_total,-5.826648585282035e-05,0.00011871663962740077
w2_predict_w3,interpersonal_only,ip_out_friend_online_minus_offline,-7.653940745164234e-05,0.0009401471946750102
w2_predict_w3,interpersonal_only,ip_same_target_friend_and_enemy_count,-8.849150711375819e-05,0.00015023081583684662
w2_predict_w3,interpersonal_only,ip_in_offline_enemy,-9.550187326172188e-05,0.0001239422019982174
w2_predict_w3,interpersonal_only,ip_in_online_friend_rate_class,-0.00010067345484631174,0.0012274876042338413
w2_predict_w3,interpersonal_only,ip_out_online_friend_rate_class,-0.00011434941503664086,0.00024233865924657517
w2_predict_w3,interpersonal_only,ip_in_enemy_total,-0.00013262233663546285,0.0002132788223890596
w2_predict_w3,interpersonal_only,ip_received_like_ratio,-0.00017330544510075764,0.0003756109908092441
w2_predict_w3,interpersonal_only,ip_in_online_enemy,-0.00019502608775596176,0.00030183548053949895
w2_predict_w3,interpersonal_only,ip_out_friend_total,-0.0002459374353552035,0.0011111505689451598
w2_predict_w3,interpersonal_only,ip_out_online_friend,-0.0002712207231020114,0.0013093282773153846
w2_predict_w3,interpersonal_only,ip_in_online_friend,-0.000303974073137625,0.0006051271027613252
w2_predict_w3,interpersonal_only,ip_in_offline_enemy_rate_class,-0.0008096398280736216,0.0006704798128034874
w2_predict_w3,interpersonal_only,ip_in_online_enemy_rate_class,-0.0008764106925321979,0.0008708809931141469
w2_predict_w3,interpersonal_only,ip_in_enemy_total_rate_class,-0.0008905463488633858,0.0007860745118162609
w2_self,baseline_drop_plus_interpersonal,ip_sent_like_ratio,0.0025401001638625186,0.000658594639280076
