題號,完整題目名稱
19-1,19-1.關於上網，請問你爸爸有沒有以下的情形？
19-1,  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行
19-1,  - 19-1-2.會限制你上網時間的長短
19-1,  - 19-1-3.會和你一起聊網路上發生的趣聞或事件
19-1,  - 19-1-4.會陪你一起上網查資料或做作業
19-1,  - 19-1-5.會鼓勵你上網
19-1,  - 19-1-6.會和你討論使用網路的情形和心得
19-1,  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）
19-1,  - 19-1-8.擔心你課業成績會因為上網而有不好影響
19-1,  - 19-1-9.會問你在網上做什麼
19-1,  - 19-1-10.會查看你的網頁瀏覽記錄
19-1,  - 19-1-11.會因為你上網而責罵你
19-1,  - 19-1-12.會因為你在網路購物而和你起衝突
19-2,19-2.關於上網，請問你媽媽有沒有以下的情形？
19-2,  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行
19-2,  - 19-2-2.會限制你上網時間的長短
19-2,  - 19-2-3.會和你一起聊網路上發生的趣聞或事件
19-2,  - 19-2-4.會陪你一起上網查資料或做作業
19-2,  - 19-2-5.會鼓勵你上網
19-2,  - 19-2-6.會和你討論使用網路的情形和心得
19-2,  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）
19-2,  - 19-2-8.擔心你課業成績會因為上網而有不好影響
19-2,  - 19-2-9.會問你在網上做什麼
19-2,  - 19-2-10.會查看你的網頁瀏覽記錄
19-2,  - 19-2-11.會因為你上網而責罵你
19-2,  - 19-2-12.會因為你在網路購物而和你起衝突
No ID,____小時
No ID,____分鐘
21-1,21-1.完成學校功課（查找完成作業需要的資料）
21-2,21-2.課外的學習（各種線上付費或免費的課程）
21-3,21-3.玩線上遊戲
21-4,21-4.看影片、聽音樂、迷因梗圖、卡通、漫畫
21-5,21-5.和他人聊天（傳訊息）
21-6,21-6.在網路上瀏覽自己有興趣的資訊
No ID,____小時.1
No ID,____分鐘.1
No ID,____小時.2
No ID,____分鐘.2
23-1,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-1.父親
23-2,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-2.母親
23-3,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-3.兄弟姊妹
