TIGPSID,@1.請問你的性別（生理性別）：,@2.你覺得你比較認同自己的性別是？（請選擇一,@3.請問你親生父母的婚姻狀態：,其他,@4.下列關於你家中生活的情形，你認為符不符合,@4.下列關於你家中生活的情形，你認為符不符_A,@4.下列關於你家中生活的情形，你認為符不符_B,@4.下列關於你家中生活的情形，你認為符不符_C,@4.下列關於你家中生活的情形，你認為符不符_D,@4.下列關於你家中生活的情形，你認為符不符_E,@5.過去一年，請問你家長和你相處情形如何？51,@5.過去一年，請問你家長和你相處情形如何？52,@5.過去一年，請問你家長和你相處情形如何？53,@5.過去一年，請問你家長和你相處情形如何？54,@5.過去一年，請問你家長和你相處情形如何？55,@5.過去一年，請問你家長和你相處情形如何？56,@5.過去一年，請問你家長和你相處情形如何？57,@5.過去一年，請問你家長和你相處情形如何？58,@5.過去一年，請問你家長和你相處情形如何？59,@5.過去一年，請問你家長和你相處情形如何？510,@6.下列有關你們班上的說法，你認為符不符合目,@6.下列有關你們班上的說法，你認為符不符合_A,@6.下列有關你們班上的說法，你認為符不符合_B,@7.請問你的座號是？,@8_1_1,@8_1_2,@8_1_3,@8_1_4,@8_1_5,@8_2_1,@8_2_2,@8_2_3,@8_2_4,@8_2_5,@8_3_1,@8_3_2,@8_3_3,@8_3_4,@8_3_5,@8_4_1,@8_4_2,@8_4_3,@8_4_4,@8_4_5,@9.你上學期的平均成績大約如何？,@10.上九年級以來，你有沒有參加校外補習（包含,@101.你補那幾科？【可複選】1數學,@101.你補那幾科？【可複選】2英語,@101.你補那幾科？【可複選】3理化,@101.你補那幾科？【可複選】4國文,@101.你補那幾科？【可複選】5社會（史、地、公,@101.你補那幾科？【可複選】6資訊電腦,@101.你補那幾科？【可複選】7地科,@101.你補那幾科？【可複選】8其他,其他_A,@11.請問以下敘述是否符合對你家長的情形？111,@11.請問以下敘述是否符合對你家長的情形？112,@11.請問以下敘述是否符合對你家長的情形？113,@11.請問以下敘述是否符合對你家長的情形？114,@11.請問以下敘述是否符合對你家長的情形？115,@11.請問以下敘述是否符合對你家長的情形？116,@11.請問以下敘述是否符合對你家長的情形？117,@11.請問以下敘述是否符合對你家長的情形？118,@12.升上國九後，家裡有沒有因為你要升學而改變,@12.升上國九後，家裡有沒有因為你要升學而改_A,@12.升上國九後，家裡有沒有因為你要升學而改_B,@12.升上國九後，家裡有沒有因為你要升學而改_C,@12.升上國九後，家裡有沒有因為你要升學而改_D,@12.升上國九後，家裡有沒有因為你要升學而改_E,@12.升上國九後，家裡有沒有因為你要升學而改_F,@12.升上國九後，家裡有沒有因為你要升學而改_G,@12.升上國九後，家裡有沒有因為你要升學而改_H,@12.升上國九後，家裡有沒有因為你要升學而改_I,@13.你會因為將來的升學問題而感覺有壓力嗎？,@14.你父母有沒有跟你討論過升學的事情？,@141.你們討論過哪些相關事情？【可複選】1要唸,@141.你們討論過哪些相關事情？【可複選】2要加,@141.你們討論過哪些相關事情？【可複選】3如何,@141.你們討論過哪些相關事情？【可複選】4要如,@141.你們討論過哪些相關事情？【可複選】5如何,@141.你們討論過哪些相關事情？【可複選】6有什,@141.你們討論過哪些相關事情？【可複選】7其他,其他_B,@15.你的父母親希望你唸到什麼樣的程度？,@16.以你目前的狀況，你認為自己最可能上哪一類,@17.如果可以不受任何條件限制，你覺得你可以讀,其他_C,@18.就你目前的環境和能力，你覺得你可以讀到什,其他_D,@191.關於上網，請問你爸爸有沒有以下的情形？,@1911.會規定你什麼時候可以上網，什麼時候不行,@1912.會限制你上網時間的長短,@1913.會和你一起聊網路上發生的趣聞或事件,@1914.會陪你一起上網查資料或做作業,@1915.會鼓勵你上網,@1916.會和你討論使用網路的情形和心得,@1917.擔心你上網會產生健康問題（如眼睛、體能,@1918.擔心你課業成績會因為上網而有不好影響,@1919.會問你在網上做什麼,@19110.會查看你的網頁瀏覽記錄,@19111.會因為你上網而責罵你,@19112.會因為你在網路購物而和你起衝突,@192.關於上網，請問你媽媽有沒有以下的情形？,@1921.會規定你什麼時候可以上網，什麼時候不行,@1922.會限制你上網時間的長短,@1923.會和你一起聊網路上發生的趣聞或事件,@1924.會陪你一起上網查資料或做作業,@1925.會鼓勵你上網,@1926.會和你討論使用網路的情形和心得,@1927.擔心你上網會產生健康問題（如眼睛、體能,@1928.擔心你課業成績會因為上網而有不好影響,@1929.會問你在網上做什麼,@19210.會查看你的網頁瀏覽記錄,@19211.會因為你上網而責罵你,@19212.會因為你在網路購物而和你起衝突,@____小時____分鐘【沒有請答0】,@____小時____分鐘【沒有請答0】_A,@211.完成學校功課（查找完成作業需要的資料）,@212.課外的學習（各種線上付費或免費的課程）,@213.玩線上遊戲,@214.看影片、聽音樂、迷因梗圖、卡通、漫畫,@215.和他人聊天（傳訊息）,@216.在網路上瀏覽自己有興趣的資訊,@____小時____分鐘【沒有請答0】_B,@____小時____分鐘【沒有請答0】_C,@____小時____分鐘【沒有請答0】_D,@____小時____分鐘【沒有請答0】_E,@23.你與以下對象的即時通訊如LINE、臉書、Wechat,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_A,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_B,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_C,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_D,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_E,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_F,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_G,@23.你與以下對象的即時通訊如LINE、臉書、Wechat_H,@24.當你在現實生活遇到困難感到憂慮時，你會上,@24.當你在現實生活遇到困難感到憂慮時，你會_A,@24.當你在現實生活遇到困難感到憂慮時，你會_B,@24.當你在現實生活遇到困難感到憂慮時，你會_C,@24.當你在現實生活遇到困難感到憂慮時，你會_D,@24.當你在現實生活遇到困難感到憂慮時，你會_E,@24.當你在現實生活遇到困難感到憂慮時，你會_F,@250.你有沒有社群媒體帳號？,@25.關於你在社群媒體上的行為，以下敘述符不符,@25.關於你在社群媒體上的行為，以下敘述符不_A,@25.關於你在社群媒體上的行為，以下敘述符不_B,@25.關於你在社群媒體上的行為，以下敘述符不_C,@25.關於你在社群媒體上的行為，以下敘述符不_D,@25.關於你在社群媒體上的行為，以下敘述符不_E,@25.關於你在社群媒體上的行為，以下敘述符不_F,@25.關於你在社群媒體上的行為，以下敘述符不_G,@25.關於你在社群媒體上的行為，以下敘述符不_H,@26.以下描述符不符合你的個人經驗感受呢？261,@26.以下描述符不符合你的個人經驗感受呢？262,@26.以下描述符不符合你的個人經驗感受呢？263,@26.以下描述符不符合你的個人經驗感受呢？264,@26.以下描述符不符合你的個人經驗感受呢？265,@26.以下描述符不符合你的個人經驗感受呢？266,@26.以下描述符不符合你的個人經驗感受呢？267,@26.以下描述符不符合你的個人經驗感受呢？268,@26.以下描述符不符合你的個人經驗感受呢？269,@26.以下描述符不符合你的個人經驗感受呢？2610,@26.以下描述符不符合你的個人經驗感受呢？2611,@26.以下描述符不符合你的個人經驗感受呢？2612,@26.以下描述符不符合你的個人經驗感受呢？2613,@26.以下描述符不符合你的個人經驗感受呢？2614,@26.以下描述符不符合你的個人經驗感受呢？2615,@27.關於你在網路上的意見表達，以下敘述你同不,@27.關於你在網路上的意見表達，以下敘述你同_A,@27.關於你在網路上的意見表達，以下敘述你同_B,@27.關於你在網路上的意見表達，以下敘述你同_C,@27.關於你在網路上的意見表達，以下敘述你同_D,@27.關於你在網路上的意見表達，以下敘述你同_E,@28.你同不同意以下說法？281.沒跟上朋友們在網,@28.你同不同意以下說法？282.錯過和朋友們在網,@28.你同不同意以下說法？283.我會隨時透過網路,@28.你同不同意以下說法？284.沒跟上網路上的首,@29.關於上網，以下敘述符不符合你的情形？291,@29.關於上網，以下敘述符不符合你的情形？292,@29.關於上網，以下敘述符不符合你的情形？293,@29.關於上網，以下敘述符不符合你的情形？294,@29.關於上網，以下敘述符不符合你的情形？295,@29.關於上網，以下敘述符不符合你的情形？296,@29.關於上網，以下敘述符不符合你的情形？297,@29.關於上網，以下敘述符不符合你的情形？298,@29.關於上網，以下敘述符不符合你的情形？299,@29.關於上網，以下敘述符不符合你的情形？2910,@30.上九年級以來，你曾在現實生活中非網上，被,@31.上九年級以來，你曾在現實生活中非網上遇到,@31.上九年級以來，你曾在現實生活中非網上遇_A,@31.上九年級以來，你曾在現實生活中非網上遇_B,@31.上九年級以來，你曾在現實生活中非網上遇_C,@31.上九年級以來，你曾在現實生活中非網上遇_D,@31.上九年級以來，你曾在現實生活中非網上遇_E,@31.上九年級以來，你曾在現實生活中非網上遇_F,@31.上九年級以來，你曾在現實生活中非網上遇_G,@32.上九年級以來，你曾在現實生活中非網上，對,@33.上九年級以來，你曾在現實生活中非網上對別,@33.上九年級以來，你曾在現實生活中非網上對_A,@33.上九年級以來，你曾在現實生活中非網上對_B,@33.上九年級以來，你曾在現實生活中非網上對_C,@33.上九年級以來，你曾在現實生活中非網上對_D,@33.上九年級以來，你曾在現實生活中非網上對_E,@33.上九年級以來，你曾在現實生活中非網上對_F,@33.上九年級以來，你曾在現實生活中非網上對_G,@34.上九年級以來，你曾在網路上，被其他人辱罵,@35.上九年級以來，你曾在網路上遇到這樣的事情,@35.上九年級以來，你曾在網路上遇到這樣的事_A,@35.上九年級以來，你曾在網路上遇到這樣的事_B,@35.上九年級以來，你曾在網路上遇到這樣的事_C,@35.上九年級以來，你曾在網路上遇到這樣的事_D,@35.上九年級以來，你曾在網路上遇到這樣的事_E,@35.上九年級以來，你曾在網路上遇到這樣的事_F,@36.上九年級以來，你曾在網路上，對別人辱罵、,@37.上九年級以來，你曾在網路上對別人做過這樣,@37.上九年級以來，你曾在網路上對別人做過這_A,@37.上九年級以來，你曾在網路上對別人做過這_B,@37.上九年級以來，你曾在網路上對別人做過這_C,@37.上九年級以來，你曾在網路上對別人做過這_D,@37.上九年級以來，你曾在網路上對別人做過這_E,@37.上九年級以來，你曾在網路上對別人做過這_F,@38.上九年級以來，同學之間有時會發生衝突。當,@38.上九年級以來，同學之間有時會發生衝突。_A,@38.上九年級以來，同學之間有時會發生衝突。_B,@38.上九年級以來，同學之間有時會發生衝突。_C,@38.上九年級以來，同學之間有時會發生衝突。_D,@38.上九年級以來，同學之間有時會發生衝突。_E,@38.上九年級以來，同學之間有時會發生衝突。_F,@38.上九年級以來，同學之間有時會發生衝突。_G,@38.上九年級以來，同學之間有時會發生衝突。_H,@38.上九年級以來，同學之間有時會發生衝突。_I,@39.過去6個月以來，請問你有沒有做過下列的事,@39.過去6個月以來，請問你有沒有做過下列的事_A,@39.過去6個月以來，請問你有沒有做過下列的事_B,@39.過去6個月以來，請問你有沒有做過下列的事_C,@39.過去6個月以來，請問你有沒有做過下列的事_D,@39.過去6個月以來，請問你有沒有做過下列的事_E,@39.過去6個月以來，請問你有沒有做過下列的事_F,@39.過去6個月以來，請問你有沒有做過下列的事_G,@39.過去6個月以來，請問你有沒有做過下列的事_H,@39.過去6個月以來，請問你有沒有做過下列的事_I,@39.過去6個月以來，請問你有沒有做過下列的事_J,@39.過去6個月以來，請問你有沒有做過下列的事_K,@39.過去6個月以來，請問你有沒有做過下列的事_L,@39.過去6個月以來，請問你有沒有做過下列的事_M,@40.以下關於媒體網站的運用敘述，你同不同意？,@40.以下關於媒體網站的運用敘述，你同不同意_A,@40.以下關於媒體網站的運用敘述，你同不同意_B,@40.以下關於媒體網站的運用敘述，你同不同意_C,@40.以下關於媒體網站的運用敘述，你同不同意_D,@40.以下關於媒體網站的運用敘述，你同不同意_E,@40.以下關於媒體網站的運用敘述，你同不同意_F,@40.以下關於媒體網站的運用敘述，你同不同意_G,@40.以下關於媒體網站的運用敘述，你同不同意_H,@411.請問你知道什麼是生成式AI（ChatGPT等）嗎？,@41.請問你通常多常使用生成式AI？,@42.請問你通常用生成式AI來做什麼？【可複選】1,@42.請問你通常用生成式AI來做什麼？【可複選】2,@42.請問你通常用生成式AI來做什麼？【可複選】3,@42.請問你通常用生成式AI來做什麼？【可複選】4,@42.請問你通常用生成式AI來做什麼？【可複選】5,@42.請問你通常用生成式AI來做什麼？【可複選】6,@42.請問你通常用生成式AI來做什麼？【可複選】7,其他_E,@43.關於生成式AI的使用，符不符合你的情形？431,@43.關於生成式AI的使用，符不符合你的情形？432,@43.關於生成式AI的使用，符不符合你的情形？433,@43.關於生成式AI的使用，符不符合你的情形？434,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_A,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_B,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_C,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_D,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_E,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_F,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_G,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_H,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_I,@44.你能使用生成式AI如ChatGPT，Copilot，Gemini等進_J,@45.學校老師是否有教如何使用生成式AI如ChatGPT，,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot_A,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot_B,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot_C,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot_D,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot_E,@46.學校老師會教你使用生成式AI如ChatGPT，Copilot_F,@47.學校的資訊科技課程教學內容包含：【可複選,@47.學校的資訊科技課程教學內容包含：【可複_A,@47.學校的資訊科技課程教學內容包含：【可複_B,@47.學校的資訊科技課程教學內容包含：【可複_C,@47.學校的資訊科技課程教學內容包含：【可複_D,@47.學校的資訊科技課程教學內容包含：【可複_E,@47.學校的資訊科技課程教學內容包含：【可複_F,@47.學校的資訊科技課程教學內容包含：【可複_G,@48.學校的科技領域課程對我的數位知識與能力有,@49.整體來說，你對自己的生活感到滿意嗎？,@50.整體來說，你覺得最近的日子過得快樂嗎？,@51.整體而言，你覺得自己目前的健康狀況如何？,@52.下列是有關你對自己的描述，你同不同意？521,@52.下列是有關你對自己的描述，你同不同意？522,@52.下列是有關你對自己的描述，你同不同意？523,@53.你有多同意下列的敘述？531.當我緊張的時候,@53.你有多同意下列的敘述？532.當我的情緒讓我,@53.你有多同意下列的敘述？533.我可以感受到自,@53.你有多同意下列的敘述？534.當我難過的時候,@53.你有多同意下列的敘述？535.我知道如何讓自,@53.你有多同意下列的敘述？536.當我感到沮喪時,@53.你有多同意下列的敘述？537.我會為自己設定,@53.你有多同意下列的敘述？538.我會達成自己所,@53.你有多同意下列的敘述？539.我會思考達到目,@53.你有多同意下列的敘述？5310.我會跟同學好好,@53.你有多同意下列的敘述？5311.我會跟別人分享,@53.你有多同意下列的敘述？5312.在學校有困難或,@53.你有多同意下列的敘述？5313.我會接納那些我,@53.你有多同意下列的敘述？5314.我從別人的臉部,@53.你有多同意下列的敘述？5315.我知道別人何時,@53.你有多同意下列的敘述？5316.當我跟同學相處,@53.你有多同意下列的敘述？5317.在做決定前，我,@53.你有多同意下列的敘述？5318.我知道哪些事情,@53.你有多同意下列的敘述？5319.我會去想不同的,@53.你有多同意下列的敘述？5320.當朋友或同學要,@54.請勾選在過去1到2週你感受到下列選項之頻率,@54.請勾選在過去1到2週你感受到下列選項之頻_A,@54.請勾選在過去1到2週你感受到下列選項之頻_B,@54.請勾選在過去1到2週你感受到下列選項之頻_C,@54.請勾選在過去1到2週你感受到下列選項之頻_D,@54.請勾選在過去1到2週你感受到下列選項之頻_E,@54.請勾選在過去1到2週你感受到下列選項之頻_F,@54.請勾選在過去1到2週你感受到下列選項之頻_G,@54.請勾選在過去1到2週你感受到下列選項之頻_H,@54.請勾選在過去1到2週你感受到下列選項之頻_I,@54.請勾選在過去1到2週你感受到下列選項之頻_J,@54.請勾選在過去1到2週你感受到下列選項之頻_K,@54.請勾選在過去1到2週你感受到下列選項之頻_L,@54.請勾選在過去1到2週你感受到下列選項之頻_M,@55.請問過去兩週中，你對以下敘述的感受程度？,@55.請問過去兩週中，你對以下敘述的感受程度_A,@55.請問過去兩週中，你對以下敘述的感受程度_B,@55.請問過去兩週中，你對以下敘述的感受程度_C,@55.請問過去兩週中，你對以下敘述的感受程度_D,@56上午_______點,@56_______分,@57下午_______點,@57_______分,@58_1.過去一個月來，在需要上課的日子，你通常,@58_1_______點,@58_1_______分,@58_2.過去一個月來，在需要上課的日子，你通常,@58_2_______點,@58_2_______分,@58_3.過去一個月來，在放假前一天或不需要上課,@58_3._______點,@58_3._______分,@58_4.過去一個月來，在不需要上課的日子，你通,@58_4._______點,@58_4._______分,@585.過去一個月來，你整體的睡眠品質好不好？,@59.我們的社會中，有一群人比較接近上層，有一,@60.你同意以下敘述嗎？601.做任何決定前，我會,@60.你同意以下敘述嗎？602.為了想更了解朋友，,@60.你同意以下敘述嗎？603.當有人感到難過時，,@60.你同意以下敘述嗎？604.當我對某人感到失望,@60.你同意以下敘述嗎？605.批評別人之前，我會,@61.請告訴我下列敘述符不符合你個人的情況？611,@61.請告訴我下列敘述符不符合你個人的情況？612,@61.請告訴我下列敘述符不符合你個人的情況？613,@61.請告訴我下列敘述符不符合你個人的情況？614,@61.請告訴我下列敘述符不符合你個人的情況？615,@61.請告訴我下列敘述符不符合你個人的情況？616,@61.請告訴我下列敘述符不符合你個人的情況？617,@61.請告訴我下列敘述符不符合你個人的情況？618,@61.請告訴我下列敘述符不符合你個人的情況？619,@621.鋁箔包、樂利包或瓶裝的含糖飲料,@622.手搖杯,@623.提神或能量飲料（如蠻牛、redbull、Monster等）,@63.過去一個月中，你平均每天喝多少次咖啡？,@64.請問你的身高______公分（僅能填答阿拉伯數字,@65.請問你的體重______公斤（僅能填答阿拉伯數字,@66.請勾選出你認為最符合你目前體型的選項：
s112593504047,1,1,1,,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1,4,4,4,3,24,15,21,22,19,25,7,6,,,,15,21,22,19,25,7,6,16,26,,2,1,1,1,1,1,1,0,1,0,,3,3,2,3,1,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,0,1,0,0,,4,1,4,,4,,,3,3,4,2,2,4,4,4,2,1,2,1,,4,4,3,4,2,3,4,4,2,1,2,1,5,4,4,2,3,4,4,3,7,1,2,1,5,4,6,5,5,5,1,1,2,2,2,3,2,2,1,1,1,4,4,2,2,2,3,2,2,1,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,5,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,1,1,0,0,0,0,0,2,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,2,3,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,5,8,3,6,1,2,12,6,1,7,1,2,12,6,1,11,4,3,3,3,4,3,2,2,3,2,3,1,1,1,3,1,1,2,3,1,2,163,49,3
s112593504048,1,1,1,,2,3,3,3,2,2,2,2,2,3,1,2,4,3,2,3,4,3,3,25,19,15,18,14,22,24,1,5,11,7,19,18,23,14,22,6,7,11,5,9,3,1,1,1,1,0,0,0,0,0,,4,4,3,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,,7,3,4,,4,,,2,1,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,2,2,2,3,4,3,1,1,5,2,3,5,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,2,2,3,1,2,1,0,1,1,0,0,0,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,8,5,6,1,2,12,4,1,7,4,2,12,5,1,10,4,2,5,3,3,3,3,3,3,3,3,3,2,2,3,2,2,1,2,1,2,160,60,5
s112593504040,1,1,1,,3,3,2,4,3,3,3,4,3,3,1,2,4,1,1,3,3,3,2,17,22,14,21,,,6,,,,,22,21,14,23,24,6,,,,,3,1,1,1,1,1,1,0,1,0,,3,2,2,2,1,1,2,1,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,0,0,1,0,,4,3,4,,4,,,3,3,2,2,2,2,3,3,1,1,1,1,,1,1,1,1,1,1,3,1,1,1,1,1,1,4,3,1,3,3,3,3,8,4,1,1,4,4,1,5,5,2,1,1,2,1,3,1,3,3,1,2,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,2,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,3,4,3,3,3,3,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,0,1,0,0,0,2,1,4,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,4,3,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,8,4,6,3,2,12,4,1,7,5,1,2,4,1,12,1,3,6,3,3,3,3,3,3,2,3,3,3,3,2,2,1,2,2,1,1,160,57,5
s112593504042,1,1,1,,4,4,3,4,4,4,2,2,2,2,1,3,4,2,1,4,3,3,3,19,25,18,15,24,17,7,11,6,7,7,25,18,15,24,17,7,6,11,12,7,4,1,0,1,0,0,0,0,0,0,,4,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,,7,4,4,,4,,,1,1,2,1,1,2,4,4,1,1,1,2,,1,1,2,1,1,2,4,4,1,1,1,2,7,3,1,4,6,6,6,6,9,3,1,1,3,3,3,3,3,3,5,1,1,4,4,4,4,4,4,4,1,4,4,4,2,2,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,2,2,2,1,2,3,1,3,3,3,3,3,3,1,3,2,2,3,3,3,2,3,3,4,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,3,3,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,4,3,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,0,2,4,4,2,4,4,3,4,4,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,3,3,3,1,1,1,1,1,1,1,5,1,5,1,1,1,1,2,2,2,2,2,8,3,6,1,2,12,6,1,7,6,2,12,6,1,11,4,3,1,4,4,4,4,4,2,1,3,3,2,3,1,1,2,2,2,1,1,151,59,4
s112593504039,1,1,1,,4,4,4,4,4,4,2,3,4,4,1,1,2,1,1,4,4,4,4,16,26,26,26,26,26,8,9,19,25,24,26,26,26,26,26,8,8,8,8,8,4,2,,,,,,,,,,4,3,2,2,2,4,4,4,2,2,2,2,2,2,1,1,2,3,2,1,1,1,1,1,1,0,0,,4,3,4,,4,,,3,2,3,1,1,1,3,3,1,1,2,1,,4,4,4,4,1,1,4,4,1,1,2,1,2,4,9,1,1,1,1,5,3,4,4,5,5,5,5,1,2,1,1,1,1,4,2,3,2,2,1,2,1,3,2,2,2,3,2,5,5,5,3,2,2,4,4,4,2,3,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,5,5,5,1,5,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,2,2,3,3,1,2,0,0,1,0,0,0,0,,2,2,2,2,3,3,2,4,2,4,4,1,4,1,1,1,,,,,,,,0,0,1,1,1,1,0,0,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,8,3,6,1,2,12,5,2,10,6,1,12,6,1,12,6,4,5,4,4,4,4,4,4,4,4,1,4,2,2,2,2,2,1,1,1,172,54,2
s112593504044,1,3,1,,3,3,2,3,2,2,2,2,2,2,1,2,2,3,1,2,4,3,4,21,22,24,15,17,2,6,,,,,22,24,15,17,,6,,,,,2,1,1,1,0,0,0,0,0,1,美術,2,2,1,2,2,1,1,1,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,0,0,1,要不要繼續學美術,6,1,4,,2,,,3,3,1,1,1,1,4,4,4,1,4,3,,4,4,1,1,1,1,4,4,4,4,4,4,5,1,1,9,9,9,9,3,15,2,5,4,2,5,1,5,5,5,3,2,3,3,3,3,3,4,2,1,1,2,1,2,4,2,2,4,5,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,2,3,3,2,3,3,3,3,2,2,1,1,1,1,3,3,2,2,2,2,1,1,1,2,1,3,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,,,,,,,,2,2,2,3,5,2,5,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,0,3,3,2,2,2,2,2,4,4,4,3,3,3,1,1,1,3,3,2,3,3,2,2,3,3,3,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,5,4,3,2,4,8,5,6,2,2,12,6,1,8,3,1,3,1,2,3,4,4,6,3,4,3,3,3,2,2,1,2,3,2,4,3,4,2,2,1,2,163,50,3
