Column,Mean,Median,Min,Max,Q1,Q3,IQR
54-1,1.5917770034843206,1.0,1.0,5.0,1.0,2.0,1.0
54-2,1.7641811846689897,1.0,1.0,5.0,1.0,2.0,1.0
54-3,1.7489895470383274,1.0,1.0,5.0,1.0,2.0,1.0
54-4,1.439581881533101,1.0,1.0,5.0,1.0,1.0,0.0
54-5,1.3381184668989548,1.0,1.0,5.0,1.0,1.0,0.0
54-6,1.4788850174216028,1.0,1.0,5.0,1.0,2.0,1.0
54-7,1.6190940766550523,1.0,1.0,5.0,1.0,2.0,1.0
54-8,1.987177700348432,1.0,1.0,5.0,1.0,3.0,2.0
54-9,1.4610452961672473,1.0,1.0,5.0,1.0,1.0,0.0
54-10,1.6770731707317073,1.0,1.0,5.0,1.0,2.0,1.0
54-11,1.510801393728223,1.0,1.0,5.0,1.0,2.0,1.0
54-12,1.572404181184669,1.0,1.0,5.0,1.0,2.0,1.0
54-13,1.7344947735191638,1.0,1.0,5.0,1.0,2.0,1.0
54-14,1.674843205574913,1.0,1.0,5.0,1.0,2.0,1.0
