scenario,feature_year,target_year,target_group_id,target_median_cutoff,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,target_positive_rate,c_selected,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_precision_mean,cv5_precision_std,cv5_recall_mean,cv5_recall_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std,skipped_feature_groups_no_mapping_items,skipped_feature_groups_no_columns,dropped_all_missing_feature_cols
w2_self,W2,W2,v55,17.0,6603,5282,1321,19,18,0.5415720127214902,0.01584893192461114,0.6821279818250663,0.6953073364177131,0.7354072002796225,0.714795311703754,0.748460942865504,0.6896290688872067,0.6962676962676962,0.7566433566433567,0.725201072386059,0.7572341849569573,0.6821120363361091,0.02021087456203753,0.6959654326547398,0.014364371631544023,0.7329292495214283,0.028835041229018418,0.7139015221532301,0.020856167151035863,0.7478689328777248,0.020118740481244863,,v521,
w3_self,W3,W3,54,21.0,6603,5282,1321,20,20,0.526124488868696,0.025118864315095822,0.6879969708443772,0.6964223688780826,0.7214825476790212,0.7087310003534818,0.7547460499721312,0.6782740348221045,0.6896067415730337,0.7064748201438849,0.6979388770433547,0.7376652033006182,0.6839349207441561,0.018012330832445116,0.6923863232952414,0.01901736685157886,0.719060394335828,0.016261496752819193,0.7053918769243571,0.015648300045011714,0.7479857046804683,0.0201768450749794,,,
w2_predict_w3,W2,W3,54,21.0,6603,5282,1321,19,18,0.526124488868696,0.00630957344480193,0.6294964028776978,0.638570465273095,0.6815401223461677,0.6593559617058311,0.6747772410423074,0.6502649507948524,0.6589358799454298,0.6949640287769784,0.6764705882352942,0.6992460983290045,0.6319917188539443,0.0194917926839088,0.6408197363169764,0.016794316635140572,0.6836551738436341,0.022650281809678187,0.6615100562953651,0.018973279944707523,0.6760508201449447,0.020965055076487528,,v521,
