scenario,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_edges_graph,edge_density,n_features_used,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_predict_w3,W2,W3,W2,54,21.0,0.526124488868696,6603,37759,0.0008661710550541066,33,0.6386071158213474,0.006289955511836765,0.6580855247737147,0.006841750666962218,0.6517985611510791,0.0046401483443445045,0.6549175423227628,0.005283435805395249,0.6973820304778542,0.009855445708489141,8.4,1.3564659966250536
w2_self,W2,W2,W2,v55,17.0,0.5415720127214902,6603,37759,0.0008661710550541066,33,0.7392884178652537,0.011335840452587353,0.7661410018969599,0.016738528014840662,0.7468531468531469,0.016019939651218285,0.7561565937029477,0.009968238730837952,0.8187371044796787,0.010379040372846144,21.4,6.6513156593263565
w3_self,W3,W3,W3,54,21.0,0.526124488868696,6603,35759,0.0008202921358531687,31,0.6617713853141559,0.01084813572606984,0.6845190603901429,0.01026852676264088,0.6624460431654676,0.01460555688109299,0.6732525253254458,0.011426022814037482,0.7301179120601281,0.010356943912709655,11.6,1.4966629547095764
