model_version,scenario,feature_year,target_year,target_group_id,target_median_cutoff,cv5_accuracy_mean,cv5_precision_mean,cv5_recall_mean,cv5_f1_mean,cv5_auc_mean,n_rows_modeling,n_train,n_test,n_features_used,test_accuracy,test_precision,test_recall,test_f1,test_auc,drop_group_ids,split_group_ids,direct_feature_ids
baseline_drop_no_split,w2_self,W2,W2,v55,17.0,0.7157328011377974,0.732755737008242,0.7474727507129741,0.7399752964100792,0.79089714654873,6603,5282,1321,19,0.7252081756245269,0.7444444444444445,0.7496503496503496,0.7470383275261324,0.7987721849107987,v50;v51;v52_health;v57,,v52_health
baseline_drop_no_split,w3_self,W3,W3,54,21.0,0.6500114697313789,0.6606088417927767,0.6882669541600148,0.6740445496511949,0.711898199622453,6603,5282,1321,20,0.6616199848599545,0.6761363636363636,0.6848920863309352,0.6804860614724804,0.7179212540510722,49;50;51;55,,
baseline_drop_no_split,w2_predict_w3,W2,W3,54,21.0,0.6418326336797191,0.6543978819124926,0.676461343893185,0.6652108852341018,0.6981563912019457,6603,5282,1321,19,0.6563209689629069,0.6680613668061367,0.6892086330935252,0.6784702549575071,0.712138276599168,v50;v51;v52_health;v57,,v52_health
drop_then_split,w2_self,W2,W2,v55,17.0,0.7337550753561352,0.7522860453020328,0.7578192756963708,0.7549879060560103,0.8108180269937197,6603,5282,1321,30,0.7388342165026495,0.7534246575342466,0.7692307692307693,0.7612456747404844,0.815947748621016,v50;v51;v52_health;v57,v23;v25;v26;v27;v54,v52_health
drop_then_split,w3_self,W3,W3,54,21.0,0.6634888628908311,0.67596561604953,0.6920063027387888,0.6838190491391929,0.7293639919599542,6603,5282,1321,31,0.6570779712339136,0.6753623188405797,0.6705035971223021,0.6729241877256318,0.7359735215022869,49;50;51;55,25;26;27;28;53,
drop_then_split,w2_predict_w3,W2,W3,54,21.0,0.6497080953364073,0.6635991056183552,0.67789811954471,0.6706523309517076,0.7073620302571471,6603,5282,1321,30,0.6585919757759273,0.6728045325779037,0.6834532374100719,0.6780870806566738,0.7180683568161446,v50;v51;v52_health;v57,v23;v25;v26;v27;v54,v52_health
