n_pair,mean,std,skew,pearson_r,pearson_p,spearman_rho,spearman_p,ols_r2,feature,abs_spearman_rank
7045,0.8512647441636944,1.9312477131730317,9.13070915708735,0.08349721619262586,2.2296218592806957e-12,0.1097905687823952,2.4299901443594785e-20,0.006971785111917983,enemy_to_friend_ratio,1.0
7045,4.460271035572071,5.36726099976437,2.132924173154597,-0.11887767906291846,1.354244043929498e-23,-0.1097905687823952,2.4299901443594785e-20,0.014131902579386235,friend_to_enemy_ratio,1.0
6998,0.3019509911239265,0.23866235896806046,0.7382984816777739,0.13719104480050068,9.413765969520059e-31,0.10848775978227441,8.975982294035469e-20,0.018821382773453132,enemy_ratio_of_total,3.0
7045,6.323917672107878,6.330151250939763,1.8115146706637126,0.1172114711295185,5.595297708066889e-23,0.10768535103292551,1.265895700427082e-19,0.013738528964345909,enemy_total,4.0
7045,-6.798296664300922,9.402284295102143,0.8700362108949442,0.12657236734568145,1.4868836907686274e-26,0.09020110915556476,3.322129862593111e-14,0.016020564175490137,enemy_minus_friend,5.0
7045,6.798296664300922,9.402284295102143,-0.8700362108949442,-0.12657236734568145,1.4868836907686274e-26,-0.09020110915556476,3.322129862593111e-14,0.016020564175490137,friend_minus_enemy,5.0
7045,9.723066004258339,4.843559182635629,0.04519073036853715,0.023401602319499733,0.049515926617238325,0.05163759606987849,1.4490144652427523e-05,0.000547634991120094,out_total,7.0
7045,0.0,6.125091986700469,0.7963039138710893,0.010966236595575721,0.3574108329496506,-0.04146460602335018,0.0004991904657749277,0.00012025834507012334,in_minus_out,8.0
7045,0.0,6.125091986700469,-0.7963039138710893,-0.010966236595575721,0.3574108329496506,0.04146460602335018,0.0004991904657749277,0.00012025834507012334,out_minus_in,8.0
7045,13.1222143364088,6.25889229377541,0.042220142938710174,-0.07159462410606361,1.788753347165252e-09,-0.04096417359162081,0.0005835637573851278,0.005125790200888436,friend_total,10.0
7045,10.076366217175302,4.373382965141499,0.22783841597404236,0.029847907239839357,0.012231895245732033,0.038881826321618414,0.0010978072178148691,0.0008908975665979924,offline_total,11.0
7045,19.446132008516678,8.37174684541921,0.20853938708653894,0.03510178997620032,0.003212507709918276,0.03384564449032111,0.004495440195495941,0.0012321356595331734,social_load_total,12.0
7045,-1.351493635086635e-16,1.6960300434419815,0.36536781153358894,0.0766974031371474,1.1490757348999222e-10,0.03107499243744978,0.009095835521647916,0.005882491647982158,pca1_8feat,13.0
7045,-4.034309358467567e-18,1.0000709798772942,0.365367811533589,0.07669740313714737,1.1490757348999222e-10,0.03107499243744978,0.009095835521647916,0.005882491647981936,pca1_8feat_z,13.0
7045,9.369765791341377,4.3804026447516256,0.21298094582764246,0.03728583504296703,0.0017474628343146898,0.024631323773335392,0.038699813471643245,0.001390233494851123,online_total,15.0
7045,-0.7066004258339248,2.557863666438708,-0.4675301172851787,0.01281954225957738,0.28199205610228884,-0.013728171290893387,0.2492730017801431,0.00016434066374504397,online_minus_offline,16.0
7045,9.723066004258339,5.508301279793115,0.9471501933671113,0.032771673975248224,0.005942728931885441,0.008094310153566552,0.496958924771135,0.0010739826151398013,in_total,17.0
