feature,loading_pc1,abs_loading_rank
W3_out_online_friend,-0.46548411666423445,1.0
W3_out_offline_friend,-0.46126907379573884,2.0
W3_in_online_friend,-0.402890073499546,3.0
W3_in_offline_friend,-0.40048920357095913,4.0
W3_out_online_enemy,-0.351303382157443,5.0
W3_out_offline_enemy,-0.3454619302009901,6.0
W3_in_offline_enemy,0.05256579712586967,7.0
W3_in_online_enemy,0.04818911319621637,8.0
