student_id,student_oid,school_id,school_name,class,status,sid,sentinel_count_all_v,has_v13_sentinel,has_v55_sentinel,has_v61_sentinel,has_v62_sentinel,has_v59_sentinel,has_v60_sentinel,has_v56_sentinel
s112014566055,s112014566055,14566,市立正德國中,812,0,s112014566055,38,True,False,False,False,False,False,False
s112044522034,s112044522034,44522,縣立中正國中,801,0,s112044522034,38,True,False,False,False,False,False,False
s112551301037,s112551301037,551301,私立立志高中附設國中,國中201,0,s112551301037,38,False,False,False,False,False,False,False
s112084503033,s112084503033,84503,縣立中興國中,8年3班,0,s112084503033,38,True,False,False,False,True,False,False
s112114534058,s112114534058,114534,市立鹽水國中,八年二班,0,s112114534058,37,False,False,False,False,False,False,False
s112313505073,s112313505073,313505,市立敦化國中,803,0,s112313505073,37,True,False,True,True,False,False,False
s112421302033,s112421302033,421302,臺北市私立幼華高中附設國中,801,0,s112421302033,37,False,False,False,False,False,False,False
s112421302061,s112421302061,421302,臺北市私立幼華高中附設國中,803,0,s112421302061,37,False,False,False,False,False,False,False
s112421302067,s112421302067,421302,臺北市私立幼華高中附設國中,803,0,s112421302067,37,False,False,False,False,False,False,False
s112551301030,s112551301030,551301,私立立志高中附設國中,國中201,0,s112551301030,37,False,False,False,False,False,False,False
s112551301070,s112551301070,551301,私立立志高中附設國中,國中203,0,s112551301070,37,False,False,False,False,False,False,False
s112061317041,s112061317041,61317,私立弘文高中附設國中,國二03,0,s112061317041,37,True,False,False,False,False,False,False
s112084530032,s112084530032,84530,縣立同富國中,八年忠班,0,s112084530032,37,True,False,False,False,False,False,False
s113121320004,s113121320004,121320,私立義大國際高中附設國中,201,0,s113121320004,36,True,False,True,True,False,True,False
s113191313003,s113191313003,191313,私立曉明女中附設國中,國二甲,0,s113191313003,36,True,False,True,True,False,True,False
s112104326074,s112104326074,104326,縣立永慶高中附設國中,805,0,s112104326074,35,True,False,True,True,True,False,False
s112144517033,s112144517033,144517,縣立新港國中,801,0,s112144517033,35,True,False,False,False,False,False,False
s112333501041,s112333501041,333501,市立仁愛國中,801,0,s112333501041,35,True,False,True,False,False,False,False
s112034518026,s112034518026,34518,市立中壢國中,805,0,s112034518026,35,False,False,False,False,False,False,False
s112343507024,s112343507024,343507,市立濱江實驗國中,801,0,s112343507024,34,True,False,True,True,False,False,False
s112551301089,s112551301089,551301,私立立志高中附設國中,國中203,0,s112551301089,34,False,False,False,False,True,False,False
s112064350026,s112064350026,64350,市立龍津高中附設國中部,802,0,s112064350026,34,False,False,False,False,False,False,False
s112034563063,s112034563063,34563,市立過嶺國中,807,0,s112034563063,33,True,False,False,False,False,False,False
s112114510040,s112114510040,114510,市立善化國中,201,0,s112114510040,32,False,False,False,False,True,False,False
s112191311055,s112191311055,191311,私立衛道高中附設國中,國二5,0,s112191311055,32,False,False,False,False,True,False,False
s112403502079,s112403502079,403502,市立麗山國中,815,0,s112403502079,32,False,False,False,False,True,False,False
s112060323123,s112060323123,60323,國立中科實驗高級中學附設國中,804,0,s112060323123,32,True,False,False,False,False,False,False
s112111321033,s112111321033,111321,臺南市興國高中附設國中,801,0,s112111321033,31,True,False,False,False,False,False,False
s112011306049,s112011306049,11306,私立金陵女中附設國中,108,0,s112011306049,31,True,False,False,False,False,False,False
s112121320036,s112121320036,121320,私立義大國際高中附設國中,201,0,s112121320036,31,True,False,False,False,False,False,False
s112121320054,s112121320054,121320,私立義大國際高中附設國中,203,0,s112121320054,31,True,False,False,False,False,False,False
s112121320056,s112121320056,121320,私立義大國際高中附設國中,203,0,s112121320056,31,True,False,False,False,False,False,False
s112014559027,s112014559027,14559,市立中平國中,801,0,s112014559027,31,True,False,False,False,False,False,False
s112154505037,s112154505037,154505,縣立花崗國中,801,0,s112154505037,31,True,False,False,False,False,False,False
s113034518004,s113034518004,34518,市立中壢國中,812,0,s113034518004,31,True,False,False,False,False,False,False
s112421302029,s112421302029,421302,臺北市私立幼華高中附設國中,801,0,s112421302029,31,True,False,False,False,False,False,False
s112061313080,s112061313080,61313,私立明道高中附設國中,Y217,0,s112061313080,31,True,False,False,False,False,False,False
s112064548066,s112064548066,64548,市立爽文國中,809,0,s112064548066,31,True,False,False,False,False,False,False
s112074505071,s112074505071,74505,縣立陽明國中,八年7班,0,s112074505071,31,True,False,False,False,False,False,False
s112084507043,s112084507043,84507,縣立宏仁國中,803,0,s112084507043,31,True,False,False,False,False,False,False
s112111323104,s112111323104,111323,私立黎明高中附設國中,國二和,0,s112111323104,30,False,False,False,False,False,False,False
s112154515025,s112154515025,154515,縣立鳳林國中,801,0,s112154515025,30,True,False,False,False,False,False,False
s112191309044,s112191309044,191309,私立明德高中附設國中,國二丁,0,s112191309044,30,False,False,False,False,False,False,False
s112034513048,s112034513048,34513,市立仁和國中,八年06班,0,s112034513048,30,False,False,False,True,False,False,False
s112034527061,s112034527061,34527,市立東興國中,818,0,s112034527061,30,False,False,False,False,False,False,False
s112034527062,s112034527062,34527,市立東興國中,818,0,s112034527062,30,False,False,False,False,False,False,False
s112403502043,s112403502043,403502,市立麗山國中,805,0,s112403502043,30,False,False,False,False,False,False,False
s112403502044,s112403502044,403502,市立麗山國中,805,0,s112403502044,30,False,False,False,False,False,False,False
s112421302025,s112421302025,421302,臺北市私立幼華高中附設國中,801,0,s112421302025,30,False,False,False,False,False,False,False
s112421302088,s112421302088,421302,臺北市私立幼華高中附設國中,803,0,s112421302088,30,False,False,False,False,False,False,False
s112421302090,s112421302090,421302,臺北市私立幼華高中附設國中,803,0,s112421302090,30,False,False,False,False,False,False,False
s112423505057,s112423505057,423505,市立石牌國中,826,0,s112423505057,30,False,False,False,False,False,False,False
s112551301028,s112551301028,551301,私立立志高中附設國中,國中201,0,s112551301028,30,False,False,False,False,False,False,False
s112064523037,s112064523037,64523,市立光復國中(小),八年三班,0,s112064523037,30,False,False,False,False,False,False,False
s112064538025,s112064538025,64538,市立潭秀國中,八年五班,0,s112064538025,30,True,False,False,False,False,False,False
s112084530034,s112084530034,84530,縣立同富國中,八年忠班,0,s112084530034,30,False,False,False,False,False,False,False
s112104326041,s112104326041,104326,縣立永慶高中附設國中,802,0,s112104326041,29,False,False,False,False,False,False,False
s112014509033,s112014509033,14509,市立福營國中,807,0,s112014509033,29,False,False,False,False,True,False,False
s112171306104,s112171306104,171306,私立二信高中附設國中,809,0,s112171306104,29,False,False,False,False,False,False,False
s112333501073,s112333501073,333501,市立仁愛國中,810,0,s112333501073,29,True,False,True,True,False,False,False
s112421302038,s112421302038,421302,臺北市私立幼華高中附設國中,801,0,s112421302038,29,False,False,False,False,False,False,False
s112011324083,s112011324083,11324,私立竹林高中附設國中,國二義,0,s112011324083,27,True,False,True,True,False,False,False
s112121320049,s112121320049,121320,私立義大國際高中附設國中,203,0,s112121320049,26,False,False,True,True,True,True,False
s112124550029,s112124550029,124550,市立鳳翔國中,203,0,s112124550029,26,False,False,False,False,False,False,False
