feature,w2_col,w3_col,n,mean_w2,mean_w3,mean_change_w3_minus_w2,pct_change_vs_w2,std_w2,std_w3,std_change,median_w2,median_w3,median_change,q05_change,q10_change,q25_change,q75_change,q90_change,q95_change,min_change,max_change,increase_n,increase_pct,no_change_n,no_change_pct,decrease_n,decrease_pct,mae_change,rmse_change,corr_w2_w3
out_online_friend,W2_out_online_friend,W3_out_online_friend,7045,3.1964513839602553,3.144357700496806,-0.05209368346344925,-1.62973489053688,1.647452186236064,1.6318707983383494,1.7280250704952775,4.0,3.0,0.0,-3.0,-2.0,-1.0,1.0,2.0,3.0,-5.0,5.0,2119,30.078069552874382,2573,36.52235628105039,2353,33.39957416607523,1.1802696948190206,1.72868751930175,0.44468912186606613
in_online_friend,W2_in_online_friend,W3_in_online_friend,7045,3.1964513839602553,3.144357700496806,-0.05209368346344925,-1.62973489053688,2.2607592234492797,2.3129081348204266,2.008354272789663,3.0,3.0,0.0,-3.0,-2.0,-1.0,1.0,2.0,3.0,-10.0,11.0,2489,35.33002129169624,1902,26.997870830376154,2654,37.67210787792761,1.4391767210787794,2.0088872803218787,0.6145704178115141
out_online_enemy,W2_out_online_enemy,W3_out_online_enemy,7045,1.488431511710433,1.7672107877927608,0.2787792760823279,18.72973488460805,1.6720090626361006,1.730912194803278,1.923821700404714,1.0,1.0,0.0,-3.0,-2.0,-1.0,1.0,3.0,4.0,-5.0,5.0,2720,38.60894251242016,2424,34.40738112136267,1901,26.983676366217175,1.349041873669269,1.9437804582402725,0.36117977327605166
in_online_enemy,W2_in_online_enemy,W3_in_online_enemy,7045,1.488431511710433,1.7672107877927608,0.2787792760823279,18.72973488460805,2.3908989838956245,3.166724027962651,2.349878798261956,1.0,1.0,0.0,-3.0,-2.0,-1.0,1.0,2.0,4.0,-15.0,38.0,2286,32.44854506742371,2876,40.82327892122073,1883,26.72817601135557,1.2916962384669979,2.366191970839915,0.6750878547227436
out_offline_friend,W2_out_offline_friend,W3_out_offline_friend,7045,3.3646557842441447,3.2198722498225694,-0.1447835344215756,-4.303071211609855,1.558903978498672,1.6132445274393494,1.6726038823179525,4.0,4.0,0.0,-3.0,-2.0,-1.0,1.0,2.0,3.0,-5.0,5.0,1981,28.119233498935415,2644,37.53016323633783,2420,34.35060326472676,1.1378282469836765,1.678740275957985,0.444379839410748
in_offline_friend,W2_in_offline_friend,W3_in_offline_friend,7045,3.3646557842441447,3.2198722498225694,-0.1447835344215756,-4.303071211609855,2.302512000395294,2.315798206921839,2.0230893494916145,3.0,3.0,0.0,-3.0,-3.0,-1.0,1.0,2.0,3.0,-10.0,13.0,2368,33.6124911284599,1885,26.756564939673527,2792,39.630943931866575,1.4495386799148333,2.028120268620341,0.6162231402163949
out_offline_enemy,W2_out_offline_enemy,W3_out_offline_enemy,7045,1.673527324343506,1.8557842441447836,0.1822569198012775,10.89058524173028,1.6757749207985735,1.7278441231874409,1.889929005565618,1.0,1.0,0.0,-3.0,-2.0,-1.0,1.0,3.0,4.0,-5.0,5.0,2544,36.11071682044003,2384,33.83960255500355,2117,30.049680624556423,1.3249112845990063,1.8985632010894113,0.3836733294541248
in_offline_enemy,W2_in_offline_enemy,W3_in_offline_enemy,7045,1.673527324343506,1.8557842441447836,0.1822569198012775,10.89058524173028,2.661616265025316,3.3438960297216442,2.426254223356756,1.0,1.0,0.0,-3.0,-2.0,-1.0,1.0,2.0,4.0,-16.0,38.0,2168,30.7735982966643,2854,40.51100070972321,2023,28.715400993612487,1.330305180979418,2.432918320514239,0.6954437353470315
