feature,delta,count,pct
in_offline_enemy,-6,26,0.36905606813342795
in_offline_enemy,-5,58,0.8232789212207239
in_offline_enemy,-4,106,1.504613200851668
in_offline_enemy,-3,242,3.4350603264726756
in_offline_enemy,-2,459,6.515259048970902
in_offline_enemy,-1,1079,15.31582682753726
in_offline_enemy,0,2854,40.51100070972321
in_offline_enemy,1,1094,15.528743789921931
in_offline_enemy,2,443,6.288147622427253
in_offline_enemy,3,221,3.1369765791341377
in_offline_enemy,4,126,1.7885024840312278
in_offline_enemy,5,101,1.433640880056778
in_offline_enemy,6,60,0.8516678495386799
in_offline_enemy,7,27,0.38325053229240597
in_offline_enemy,8,31,0.44002838892831797
in_offline_enemy,9,8,0.113555713271824
in_offline_enemy,10,12,0.170333569907736
in_offline_enemy,11,9,0.127750177430802
in_offline_enemy,12,6,0.085166784953868
in_offline_enemy,13,10,0.14194464158977999
in_offline_enemy,14,5,0.07097232079488999
in_offline_enemy,15,2,0.028388928317956
in_offline_enemy,16,1,0.014194464158978
in_offline_enemy,17,1,0.014194464158978
in_offline_enemy,18,2,0.028388928317956
in_offline_enemy,19,1,0.014194464158978
in_offline_enemy,20,1,0.014194464158978
in_offline_enemy,21,1,0.014194464158978
in_offline_enemy,22,2,0.028388928317956
in_offline_enemy,23,1,0.014194464158978
in_offline_enemy,26,2,0.028388928317956
in_offline_enemy,38,1,0.014194464158978
