wave,target_items,target_score_aggregation,target_min_valid_items,target_median_cutoff,target_non_missing,target_positive,target_negative,n_rows,n_predictor_columns,n_predictor_definitions,all_missing_predictors,constant_predictors,multivariable_n,multivariable_n_positive,multivariable_n_negative,multivariable_status,multivariable_pseudo_r2,multivariable_aic
W2,"['v55_1', 'v55_2', 'v55_3', 'v55_4', 'v55_5', 'v55_6', 'v55_7', 'v55_8', 'v55_9', 'v55_10', 'v55_11', 'v55_12', 'v55_13', 'v55_14']",sum,7,17.0,6603,3576,3027,6603,45,45,[],[],6546,3546,3000,ok,0.2921706561327775,6483.05359701296
W3,"['54-1', '54-2', '54-3', '54-4', '54-5', '54-6', '54-7', '54-8', '54-9', '54-10', '54-11', '54-12', '54-13', '54-14']",sum,7,21.0,6603,3474,3129,6603,44,44,[],[],6336,3339,2997,ok,0.17413580074659252,7328.775578776025
