wave,feature_code,feature_name,model_column,source_type,items,reference_category,n_non_missing,n_unique_non_missing
W2,online_activity_sum,Online Activity Sum,online_activity_sum,online_activity_sum_complete_4_items,v21_3;v21_4;v21_5;v21_6,,6546,45
W2,gender,Gender: Male vs Female,gender_Male,categorical_dummy,v1,Female,6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Biological father deceased vs Married, living together",family_structure_Biological_father_deceased,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Biological mother deceased vs Married, living together",family_structure_Biological_mother_deceased,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Both biological parents deceased vs Married, living together",family_structure_Both_biological_parents_deceased,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Divorced, living separately vs Married, living together",family_structure_Divorced_living_separately,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Divorced, living together vs Married, living together",family_structure_Divorced_living_together,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Married, separated vs Married, living together",family_structure_Married_separated,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Married, separated due to work vs Married, living together",family_structure_Married_separated_due_to_work,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Other vs Married, living together",family_structure_Other,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Unmarried, living separately vs Married, living together",family_structure_Unmarried_living_separately,categorical_dummy,v2,"Married, living together",6603,2
W2,family_structure,"Parental Marital Status / Family Structure: Unmarried, living together vs Married, living together",family_structure_Unmarried_living_together,categorical_dummy,v2,"Married, living together",6603,2
W2,v3,Perceived Social Status (Subjective Social Status),v3,single_item_ordinal,v3,,6603,10
W2,v50,Overall Life Satisfaction,v50,single_item_ordinal,v50,,6603,4
W2,v51,Recent Subjective Happiness,v51,single_item_ordinal,v51,,6603,4
W2,v49,Perceived Effectiveness of School-based Digital/Technology Learning,v49,single_item_ordinal,v49,,6603,4
W2,v38,Cyberbullying Victimization (including Misinformation-related),v38,binary,v38,,6603,2
W2,v40,Cyberbullying Perpetration (including Misinformation-related),v40,binary,v40,,6603,2
W2,v34,Physical/Offline Bullying Victimization,v34,binary,v34,,6603,2
W2,v36,Physical/Offline Bullying Perpetration,v36,binary,v36,,6603,2
W2,scale_20_v57,Positive Mental Well-being (WHO-5),scale_20_v57,multi_item_scale,v57_1;v57_2;v57_3;v57_4;v57_5,,6603,21
W2,scale_21_v52,Self-Worth and Positive Self-Concept,scale_21_v52,multi_item_scale,v52_1;v52_2;v52_3,,6603,10
W2,scale_22_v42,Delinquent and Health-Risk Behaviors,scale_22_v42,multi_item_scale,v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13;v42_14,,6603,13
W2,scale_23_v6,Parenting Practices and Parent-Child Interaction Quality,scale_23_v6,multi_item_scale,v6_1;v6_2;v6_3;v6_4;v6_5;v6_6;v6_7;v6_8;v6_9;v6_10,,6603,31
W2,scale_24_v5,Family Cohesion and Support (Family Functioning),scale_24_v5,multi_item_scale,v5_1;v5_2;v5_3;v5_4;v5_5;v5_6,,6603,19
W2,scale_25_v28,Problematic Internet Use and Internet Dependence,scale_25_v28,multi_item_scale,v28_1;v28_2;v28_3;v28_4;v28_5;v28_6;v28_7;v28_8;v28_9;v28_10,,6603,31
W2,scale_26_v19,Parental Involvement in Schooling and Academic Monitoring,scale_26_v19,multi_item_scale,v19_1;v19_2;v19_3;v19_4;v19_5;v19_6;v19_7;v19_8;v19_9;v19_10,,6603,31
W2,scale_27_v22,Online Coping and Support Seeking under Distress,scale_27_v22,multi_item_scale,v22_1;v22_2;v22_3;v22_4;v22_5;v22_6,,6603,19
W2,v52,Self-Rated Health Status,v52,single_item_ordinal,v52,,6603,4
W2,v25_A,Social Media Self-Presentation and Online Image Management - Online Ideal Self-Presentation,v25_A,decomposed_subscale,v25_1;v25_2;v25_3,,6603,10
W2,v25_B,Social Media Self-Presentation and Online Image Management - Real-life Self-Satisfaction,v25_B,decomposed_subscale,v25_4;v25_5;v25_6,,6603,10
W2,v25_C,Social Media Self-Presentation and Online Image Management - Online-Offline Discrepancy & Immersion,v25_C,decomposed_subscale,v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15,,6603,28
W2,v23_A,Social Media Use: Selective Sharing and Impression Management - Selective Positive Sharing,v23_A,decomposed_subscale,v23_1;v23_2;v23_3,,6603,10
