dataset,variable_name,group_id,item,n_rows,n_missing,pct_missing,n_nonmissing
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_07,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_08,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_09,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_10,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_11,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_12,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_13,6603,0,0.0,6603
W2 2024,Delinquent and Health-Risk Behaviors,v42,v42_14,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-1,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-2,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-3,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-4,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-5,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-6,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-7,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-8,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-9,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-10,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-11,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-12,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-13,6603,0,0.0,6603
W3 2025,Delinquent and Health-Risk Behaviors,39,39-14,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_1,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_2,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_3,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_4,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_5,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_6,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_7,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_8,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_9,6603,0,0.0,6603
W2 2024,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),v6,v6_10,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-1,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-2,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-3,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-4,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-5,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-6,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-7,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-8,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-9,6603,0,0.0,6603
W3 2025,Parenting Practices and Parent–Child Interaction Quality (Support/Conflict/Monitoring),5,5-10,6603,0,0.0,6603
W2 2024,Family Cohesion and Support (Family Functioning),v5,v5_1,6603,0,0.0,6603
W2 2024,Family Cohesion and Support (Family Functioning),v5,v5_2,6603,0,0.0,6603
W2 2024,Family Cohesion and Support (Family Functioning),v5,v5_3,6603,0,0.0,6603
W2 2024,Family Cohesion and Support (Family Functioning),v5,v5_4,6603,0,0.0,6603
W2 2024,Family Cohesion and Support (Family Functioning),v5,v5_5,6603,0,0.0,6603
W2 2024,Family Cohesion and Support (Family Functioning),v5,v5_6,6603,0,0.0,6603
W3 2025,Family Cohesion and Support (Family Functioning),4,4-1,6603,0,0.0,6603
W3 2025,Family Cohesion and Support (Family Functioning),4,4-2,6603,0,0.0,6603
W3 2025,Family Cohesion and Support (Family Functioning),4,4-3,6603,0,0.0,6603
W3 2025,Family Cohesion and Support (Family Functioning),4,4-4,6603,0,0.0,6603
W3 2025,Family Cohesion and Support (Family Functioning),4,4-5,6603,0,0.0,6603
W3 2025,Family Cohesion and Support (Family Functioning),4,4-6,6603,0,0.0,6603
W2 2024,Perceived Effectiveness of School-based Digital/Technology Learning,v49,v49,6603,0,0.0,6603
W3 2025,Perceived Effectiveness of School-based Digital/Technology Learning,48,48,6603,0,0.0,6603
W2 2024,Cyberbullying Victimization (including Misinformation-related),v38,v38,6603,0,0.0,6603
W3 2025,Cyberbullying Victimization (including Misinformation-related),34,34,6603,0,0.0,6603
W2 2024,Cyberbullying Perpetration (including Misinformation-related),v40,v40,6603,0,0.0,6603
W3 2025,Cyberbullying Perpetration (including Misinformation-related),36,36,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_1,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_2,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_3,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_4,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_5,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_6,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_7,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_8,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_9,6603,0,0.0,6603
W2 2024,Problematic Internet Use and Internet Dependence,v28,v28_10,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-1,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-2,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-3,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-4,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-5,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-6,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-7,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-8,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-9,6603,0,0.0,6603
W3 2025,Problematic Internet Use and Internet Dependence,29,29-10,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_1,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_2,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_3,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_4,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_5,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_6,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_7,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_8,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_9,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_10,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_11,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_12,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_13,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_14,6603,0,0.0,6603
W2 2024,Social Media Self-Presentation and Online Image Management,v25,v25_15,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-1,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-2,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-3,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-4,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-5,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-6,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-7,6603,0,0.0,6603
