Model,Feature Set,scenario,feature_year,target_year,target_group_id,target_median_cutoff,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,target_positive_rate,c_selected,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_precision_mean,cv5_precision_std,cv5_recall_mean,cv5_recall_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std,skipped_feature_groups_no_mapping_items,skipped_feature_groups_no_columns,dropped_all_missing_feature_cols,Task
Original-group Logistic,original_groups_no_drop,w2_self,W2,W2,v55,17.0,6603,5282,1321,23,23,0.5415720127214902,0.025118864315095822,0.7482014388489209,0.7602856171370282,0.7815449143656065,0.7707687004481213,0.824062030921618,0.753217259651779,0.7660738714090287,0.7832167832167832,0.7745504840940526,0.8304599690738305,0.7464748927580116,0.02237741411314735,0.7585175333171889,0.018023774362076535,0.7801879126460133,0.028905523884524855,0.7690985626292267,0.021722688872493002,0.8229239746123514,0.0181882387732902,,,,W2 -> W2
Original-group Logistic,original_groups_no_drop,w2_predict_w3,W2,W3,54,21.0,6603,5282,1321,23,23,0.526124488868696,0.003981071705534973,0.656758803483529,0.6663223140495868,0.6962936308024469,0.6809783565018476,0.715828447388862,0.6744890234670704,0.6853146853146853,0.7050359712230215,0.6950354609929078,0.7288781115682533,0.657581492441447,0.005629755214568369,0.6684021387346073,0.007088289578755721,0.693147430182655,0.003891187542313059,0.6805264313647608,0.0037014946366391984,0.7141289146474757,0.011093700178572054,,,,W2 -> W3
Original-group Logistic,original_groups_drop_groups,w2_self,W2,W2,v55,17.0,6603,5282,1321,19,19,0.5415720127214902,0.3981071705534973,0.7184778492995078,0.7359203296703297,0.7490387976232087,0.7424216178763208,0.7916769713220899,0.7221801665404997,0.7423398328690808,0.7454545454545455,0.743893928820656,0.7976597659765977,0.7167937512903448,0.019576442738089558,0.7344224411911611,0.014108347221219984,0.746914091495097,0.026838317502533064,0.7405651760492677,0.020176424882406403,0.7903116268695702,0.01915985258233535,,,,W2 -> W2
Original-group Logistic,original_groups_drop_groups,w2_predict_w3,W2,W3,54,21.0,6603,5282,1321,19,19,0.526124488868696,0.01584893192461114,0.6444528587656191,0.656477943730462,0.6801007556675063,0.6680805938494168,0.6993484033625285,0.6570779712339136,0.6699438202247191,0.6863309352517986,0.6780383795309168,0.7110993633208449,0.6425903241346088,0.01184923930418141,0.654750782622697,0.010883002030449316,0.678474073766923,0.015110718140731264,0.6663594765005694,0.01168420772994395,0.6975036254088497,0.009463246297303898,,,,W2 -> W3
