scenario,feature_year,target_year,target_group_id,target_cutoff_q33,target_cutoff_q67,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,class0_count,class1_count,class2_count,c_selected_mean,test_accuracy,test_macro_f1,test_macro_auc_ovr,cv5_accuracy_mean,cv5_macro_f1_mean,cv5_macro_auc_ovr_mean,skipped_feature_groups_no_mapping_items,skipped_feature_groups_no_columns,dropped_all_missing_feature_cols
w2_self,W2,W2,v55,15.0,21.0,7023,5618,1405,23,23,2148,2327,2548,0.01,0.5708185053380783,0.5638341436213777,0.7635024683613153,0.5873549898105058,0.577924797394042,0.7689197214113505,,,
w3_self,W3,W3,54,15.0,23.0,7023,5618,1405,24,23,2189,2514,2320,0.10000000000000002,0.5750889679715302,0.5754291531470206,0.7599724158663183,0.57425697802922,0.5744023457854693,0.7615832337764675,,,group_3
w2_predict_w3,W2,W3,54,15.0,23.0,7023,5618,1405,23,23,2189,2514,2320,0.000630957344480193,0.49608540925266903,0.4957561508491685,0.6727561170514337,0.5076162666909998,0.5081811188852197,0.6900384580563397,,,
