scenario,feature_year,target_year,target_group_id,target_median_cutoff,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,target_positive_rate,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std,skipped_feature_groups_no_mapping_items,skipped_feature_groups_no_columns,dropped_all_missing_feature_cols
w2_self,W2,W2,v55,17.0,7023,5618,1405,23,23,0.5400825857895486,0.039810717055349734,0.7449270202919188,0.7666503826738317,0.8240799320803851,0.7572953736654804,0.7778501628664495,0.820486463776274,0.7442702598574484,0.01146371872307953,0.7658114720919552,0.00929145414239418,0.8204547114673797,0.006495651359488851,,,
w3_self,W3,W3,54,18.0,7023,5618,1405,24,23,0.5096112772319522,0.01584893192461114,0.7342470630117479,0.7394870005234688,0.8129625556176082,0.7074733096085409,0.7198364008179959,0.7878290940639417,0.7273211262179234,0.015531994878118648,0.7328422026523989,0.015636057738322464,0.8061545807886784,0.012453576800680197,,,group_3
w2_predict_w3,W2,W3,54,18.0,7023,5618,1405,23,23,0.5096112772319522,0.003981071705534973,0.6730153079387683,0.6768689533861038,0.735755331334829,0.6562277580071174,0.6537634408602151,0.7234444300297573,0.6672396102645213,0.020758226256403757,0.6725126375606647,0.02086740817213751,0.730958072140185,0.024428609638137012,,,
