school_id,class_name,seat_no,in_Online_Like,in_Online_Dislike,in_Offline_Like,in_Offline_Dislike
14513,802,31,1,0,1,0
14513,802,32,1,1,1,1
14513,802,36,0,1,1,1
14513,802,37,0,1,0,0
14513,802,51,0,1,0,0
14513,802,57,0,1,0,0
14513,802,60,0,1,0,0
14513,809,2,1,1,1,1
14513,809,6,1,1,1,1
14513,809,7,1,1,1,0
14513,809,10,1,0,1,0
14513,809,14,0,1,0,0
14513,809,26,1,0,1,0
14513,809,29,1,0,1,0
14513,809,32,1,1,1,1
14513,809,54,0,0,1,0
14513,809,55,0,0,1,0
14513,809,56,0,1,0,1
14513,809,57,0,0,0,1
14513,809,58,0,0,1,1
14513,809,59,0,0,1,0
14513,809,60,0,1,0,1
14514,806,3,1,0,1,0
14514,806,8,1,1,1,1
14514,806,14,1,1,1,1
14514,806,18,1,1,1,0
14514,814,2,1,1,1,1
14514,814,5,1,1,1,1
14514,814,6,1,1,1,1
14514,814,9,1,1,1,1
14514,814,10,1,1,1,1
14514,814,14,1,0,1,1
14514,814,21,1,1,1,1
14514,814,22,0,1,0,1
14514,814,27,1,0,1,0
14514,814,28,1,0,1,0
14514,814,44,0,0,1,0
14514,814,48,0,0,0,1
14514,814,50,1,0,0,1
14514,814,51,1,0,1,0
14514,814,52,0,1,0,0
14514,814,54,1,0,1,0
14514,814,56,0,0,1,0
14514,814,58,1,1,1,1
14514,814,59,0,1,0,1
14514,814,60,1,0,0,1
14516,810,1,1,0,1,1
14516,810,4,1,1,1,1
14516,810,5,1,1,1,1
14516,810,6,1,0,0,0
14516,810,12,1,0,1,0
14516,810,13,0,1,0,1
14516,810,18,0,1,0,1
14516,810,21,1,1,1,1
14516,810,22,1,0,1,0
14516,810,23,1,1,1,1
14516,810,25,1,0,1,1
14516,826,16,1,1,1,1
14516,826,17,1,1,1,1
14516,826,20,0,1,0,0
14516,826,21,1,1,0,1
14516,826,22,1,1,1,1
14516,826,23,1,0,1,0
14516,826,25,1,0,1,0
14516,826,26,1,1,1,1
14516,826,27,1,1,0,0
14516,826,28,1,1,1,1
14517,806,5,1,0,1,0
14517,806,10,1,1,1,1
14517,806,11,1,1,1,1
14517,806,12,1,0,1,0
14517,806,13,0,1,0,1
14517,806,14,0,1,0,1
14517,806,23,1,1,1,1
14517,806,26,1,1,1,1
14517,820,3,1,1,1,0
14517,820,7,1,0,1,0
14517,820,11,0,1,1,1
14517,820,14,1,0,1,1
14517,820,18,1,1,1,1
14517,820,27,1,1,1,1
14517,820,33,0,1,0,0
14517,820,40,1,0,0,0
14517,820,55,1,0,1,0
14517,820,56,1,1,0,0
14517,820,57,0,1,0,0
14517,820,58,1,1,1,1
14517,820,59,1,1,1,1
14517,820,60,1,1,1,1
14518,804,3,1,1,1,0
14518,804,8,0,1,0,1
14518,804,27,1,1,1,1
14518,804,28,1,0,1,0
14518,804,30,1,0,0,0
14518,804,36,1,0,0,0
14518,804,37,1,0,0,0
14518,804,38,1,0,0,0
14518,804,39,1,0,0,0
14518,804,40,1,0,0,0
14518,809,2,1,0,1,0
14518,809,6,1,1,1,1
14518,809,27,1,1,1,1
14518,809,28,1,1,1,1
14518,809,29,1,0,1,0
14524,803,2,1,1,1,1
14524,803,5,1,1,1,0
14524,803,8,0,1,0,1
14524,803,11,0,1,0,0
14524,803,13,0,1,0,1
14524,803,21,0,1,0,0
14524,803,22,1,1,1,0
14524,803,26,1,0,1,0
14524,803,27,0,1,0,1
14524,803,28,1,1,1,0
14524,803,30,1,1,1,1
14524,803,31,0,0,1,0
14524,803,33,1,0,1,0
14524,812,3,1,1,1,0
14524,812,4,1,0,1,0
14524,812,6,1,0,1,0
14524,812,8,1,1,0,1
14524,812,9,1,1,1,1
14524,812,10,1,0,1,1
14524,812,27,0,1,1,1
14524,812,32,1,0,1,0
14524,812,33,1,0,1,1
14525,806,5,1,1,1,1
14525,806,9,1,1,1,1
14525,806,20,1,0,1,1
14525,815,5,1,0,0,0
14525,815,24,1,1,1,0
14531,八年六班,2,1,1,1,1
14531,八年六班,5,1,0,1,0
14531,八年六班,8,1,1,1,1
14531,八年六班,9,1,1,1,1
14531,八年六班,11,0,1,0,1
14531,八年六班,12,1,1,1,1
14531,八年十四班,7,0,1,0,1
14531,八年十四班,10,1,1,1,1
14531,八年十四班,16,1,1,1,1
14531,八年十四班,17,1,1,1,1
14531,八年十四班,18,1,0,1,1
14531,八年十四班,26,0,1,1,1
14531,八年十四班,27,0,1,0,1
14555,805,3,0,1,0,1
14555,805,4,1,0,1,0
14555,805,6,1,0,1,1
14555,805,8,0,1,0,1
14555,805,11,1,1,1,1
14555,805,13,1,1,0,1
14555,805,14,0,1,0,0
14555,805,17,0,1,1,1
14555,805,19,1,1,1,1
14555,805,22,1,0,1,0
14555,805,25,1,1,1,1
14555,814,1,1,0,1,0
14555,814,2,1,1,1,1
14555,814,4,0,1,0,1
14555,814,5,1,0,1,0
14555,814,6,1,1,1,1
14555,814,8,1,1,1,0
14555,814,12,0,1,0,1
14555,814,22,1,1,1,1
14555,814,27,0,1,0,1
14559,801,4,1,1,1,1
14559,801,8,0,1,0,1
14559,801,14,1,1,1,1
14559,801,19,0,1,0,1
14559,801,20,0,0,0,1
14559,801,32,1,0,1,0
14559,801,43,0,1,0,0
14559,801,46,0,0,0,1
14559,812,2,1,0,1,0
14559,812,6,1,1,1,1
14559,812,8,1,0,1,1
14559,812,12,1,0,1,0
14559,812,15,1,1,1,0
14559,812,22,1,0,1,0
14559,812,27,0,1,1,1
14560,801,1,1,1,1,1
14560,801,13,1,1,1,1
14560,801,21,1,0,1,0
14560,801,22,1,0,1,0
14560,801,24,1,1,1,1
14560,801,25,1,1,1,1
14560,804,1,1,1,1,1
14560,804,4,1,1,1,0
14560,804,12,0,1,0,1
14560,804,19,1,1,1,1
14560,804,23,1,1,0,0
14560,804,45,0,0,0,1
14560,804,47,0,0,0,1
14560,804,52,0,0,0,1
14560,804,54,0,0,0,1
14560,804,56,0,0,0,1
14560,804,57,0,0,0,1
14560,804,58,0,0,0,1
14566,803,3,1,1,1,0
14566,803,4,1,1,1,0
14566,803,11,1,1,1,1
14566,803,23,1,1,1,1
14566,803,25,1,1,1,1
14566,803,29,1,1,1,1
14566,803,31,1,0,1,1
14566,803,32,1,1,1,1
14566,803,33,1,0,1,0
14566,803,35,1,1,1,1
14566,803,57,0,0,0,1
14566,803,58,0,0,0,1
14566,803,59,0,0,0,1
14566,803,60,0,0,0,1
14566,812,1,1,1,1,0
14566,812,3,0,1,1,1
14566,812,4,1,1,1,1
14566,812,6,1,0,1,0
14566,812,8,1,0,1,1
14566,812,13,1,0,1,0
14566,812,14,1,1,1,1
14566,812,15,1,1,1,1
14566,812,21,1,1,1,1
14566,812,23,1,0,1,0
14566,812,28,1,1,1,0
14566,812,30,0,1,0,1
14566,812,34,0,1,0,1
14576,807,3,1,0,1,0
14576,807,5,1,0,0,0
14576,807,6,0,1,0,1
14576,807,10,0,1,0,1
14576,807,12,0,1,0,1
14576,816,25,1,1,1,0
14576,816,29,1,0,1,0
24503,807,8,1,0,1,0
24503,807,11,0,1,0,1
24503,807,19,1,1,1,1
24503,807,29,0,0,0,1
24503,815,2,1,1,1,1
24503,815,3,1,1,1,1
24503,815,14,1,0,1,0
24503,815,15,1,1,1,1
24503,815,17,1,0,1,1
24503,815,21,1,1,1,1
24507,803,10,1,0,1,0
24507,803,16,1,0,0,0
24507,803,18,0,1,0,1
24507,803,23,1,0,0,0
24507,803,60,1,0,0,0
24507,806,14,1,1,1,1
24523,801,2,1,0,1,1
24523,801,4,1,0,1,0
24523,801,10,1,0,1,0
24523,801,11,0,1,0,1
24523,801,13,1,1,0,1
24523,801,14,1,0,0,1
24523,801,15,1,1,1,1
24523,801,16,1,0,1,1
24523,801,21,0,0,0,1
24523,801,44,0,1,0,0
24523,801,46,0,1,0,0
24523,801,51,0,1,0,0
24523,801,54,0,1,0,0
24523,801,58,0,1,0,0
24523,801,60,0,1,0,1
34348,八年仁班,1,1,1,1,1
34348,八年仁班,5,1,1,1,1
34348,八年仁班,10,1,1,1,1
34348,八年仁班,12,1,0,1,1
34348,八年仁班,13,1,1,1,1
34348,八年仁班,15,1,1,1,1
34348,八年仁班,17,1,1,1,1
34348,八年仁班,21,1,1,1,1
34348,八年仁班,23,1,1,1,0
34348,八年仁班,24,1,1,1,1
34348,八年仁班,28,1,1,0,1
34348,八年仁班,37,1,0,0,0
34348,八年仁班,57,0,1,0,1
34348,八年仁班,58,0,1,0,1
34348,八年仁班,59,0,1,0,1
34348,八年仁班,60,0,1,0,1
34348,八年忠班,1,1,0,1,0
34348,八年忠班,4,0,1,0,1
34348,八年忠班,5,1,1,1,1
34348,八年忠班,6,1,1,0,1
34348,八年忠班,7,1,1,1,1
34348,八年忠班,9,0,1,0,1
34348,八年忠班,10,1,1,1,1
34348,八年忠班,12,0,0,0,1
34348,八年忠班,14,1,1,1,1
34348,八年忠班,19,1,1,1,1
34348,八年忠班,21,1,0,1,0
34348,八年忠班,23,0,1,0,1
34348,八年忠班,25,1,0,1,0
34348,八年忠班,27,0,1,0,1
34502,804,1,0,1,0,1
34502,804,14,1,1,1,1
34502,804,21,0,1,0,1
34502,804,24,1,0,1,0
34502,804,26,1,1,1,1
34502,804,27,0,1,0,1
34502,804,30,1,0,1,0
34502,804,35,1,1,1,1
34502,804,36,0,1,0,1
34502,804,37,1,1,1,0
34502,811,1,1,1,1,1
34502,811,3,1,1,1,1
34502,811,13,1,1,1,1
34502,811,23,1,0,1,1
34502,811,26,1,1,1,0
34502,811,30,0,1,0,1
34502,811,31,1,0,1,0
34502,811,60,0,0,0,1
34506,八年8班,2,1,1,1,1
34506,八年8班,24,1,1,1,1
34506,八年8班,41,0,0,0,1
34506,八年8班,60,0,0,1,0
34508,801,3,1,0,1,0
34508,801,8,1,0,1,0
34508,801,10,1,1,1,1
34508,801,35,0,1,0,1
34508,801,45,1,1,1,1
34508,806,3,1,1,1,1
34508,806,9,1,1,1,1
34508,806,10,0,1,0,1
34508,806,11,1,1,1,1
34508,806,12,1,1,1,1
34508,806,15,1,1,1,1
34508,806,16,0,0,1,0
34508,806,17,1,1,0,1
34508,806,19,1,0,1,0
34508,806,20,0,0,0,1
34508,806,31,0,1,0,1
34508,806,42,0,1,1,1
34513,八年06班,9,1,1,1,1
34513,八年06班,11,1,1,1,1
