Task,Scenario,Feature Set,Feature Wave,Target Wave,Model,N,N features,Selected C,Test AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test Balanced Accuracy,CV accuracy mean,CV accuracy SD,CV balanced_accuracy mean,CV balanced_accuracy SD,CV f1 mean,CV f1 SD,CV auc mean,CV auc SD,CV precision mean,CV precision SD,CV recall mean,CV recall SD,CV sensitivity mean,CV sensitivity SD,CV specificity mean,CV specificity SD
W2 -> W2,w2_predict_w2,drop_plus_decomposition,W2,W2,Multivariable Logistic,6603,30,,0.816,0.740,0.754,0.769,0.762,0.737,0.734,0.018,0.731,0.017,0.755,0.018,0.811,0.015,0.752,0.014,0.758,0.023,0.758,0.023,0.705,0.016
W2 -> W3,w2_predict_w3,drop_plus_decomposition,W2,W3,Multivariable Logistic,6603,30,,0.717,0.656,0.669,0.682,0.676,0.654,0.650,0.013,0.649,0.013,0.669,0.013,0.707,0.011,0.666,0.012,0.673,0.013,0.673,0.013,0.625,0.014
