feature,n_pair,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rank
W3_in_online_enemy,7045,0.09270812846471357,6.348423509228779e-15,0.06308055895923954,1.1645577937015111e-07,1.0
W3_out_offline_enemy,7045,0.05914582592508427,6.770157338124515e-07,0.06299759950763315,1.2099226849628094e-07,2.0
W3_out_online_friend,7045,-0.07054441314480113,3.0768515244811843e-09,-0.06186318985052127,2.0306263218225577e-07,3.0
W3_in_offline_enemy,7045,0.08276018807705739,3.4725213104267568e-12,0.05557373291821907,3.0513506173607306e-06,4.0
W3_out_online_enemy,7045,0.04839327656648098,4.833706241468718e-05,0.044811503585613484,0.00016825452732235677,5.0
W3_out_offline_friend,7045,-0.0647350231841585,5.380885796417572e-08,-0.04284801231365716,0.0003213641841955966,6.0
W3_in_offline_friend,7045,-0.06487705426693889,5.0313525356028846e-08,-0.03954729321178033,0.0008998780076991035,7.0
W3_in_online_friend,7045,-0.05403816520208829,5.674253744094898e-06,-0.03703955109547622,0.0018746050386055956,8.0
