feature,vif,r2_of_feature_on_others
W3_in_offline_enemy,9.477750700190239,0.8944897337318729
W3_in_online_enemy,9.439591910648687,0.8940632169837859
W3_out_online_enemy,3.9758416432912362,0.7484809281357113
W3_out_offline_enemy,3.9646164221197626,0.7477687893283432
W3_in_offline_friend,3.4048198687426883,0.7062987063778872
W3_in_online_friend,3.3944539949616233,0.7054018108702322
W3_out_online_friend,2.5913251779590443,0.6140970618023281
W3_out_offline_friend,2.5454209712786717,0.6071376753458356
