feature,n,beta,intercept,r2,p_value_beta
W2_out_offline_enemy,7045,0.6473093316390949,20.444318378988797,0.010549103621278588,0.0
W2_out_online_enemy,7045,0.6124472855291061,20.616022393746313,0.009401023358472482,2.220446049250313e-16
W2_in_online_enemy,7045,0.36744119616351495,20.98069717771901,0.00691924321735593,2.69606559299973e-12
W2_in_offline_enemy,7045,0.3113657802255515,21.006529091716356,0.0061573394260896475,4.2458481175344787e-11
W2_out_offline_friend,7045,-0.4888029055011825,23.172261756139243,0.0052055513832866,1.3388843367323489e-09
W2_out_online_friend,7045,-0.4218622684071053,22.87607046447984,0.004330394420467121,3.2319455556262255e-08
W2_in_offline_friend,7045,-0.27483319351039776,22.4523273270364,0.0035900675704426677,4.835005509296053e-07
W2_in_online_friend,7045,-0.18443945527774677,22.117159984868774,0.001558750959787636,0.0009179935275167583
