feature,n,beta,intercept,r2,p_value_beta
W3_in_online_enemy,7045,0.34585396294516224,21.916553323113362,0.008594797083429917,6.217248937900877e-15
W3_in_offline_enemy,7045,0.29238417497834013,21.985148232268866,0.00684924873055015,3.4725555764225646e-12
W3_out_online_friend,7045,-0.5106954796919534,24.133559441609254,0.004976514225944473,3.0768516623425057e-09
W3_in_offline_friend,7045,-0.3309600466325954,23.59339924738321,0.004209032170355398,5.0313525346012966e-08
W3_out_offline_friend,7045,-0.4740501269032848,24.054131026071683,0.004190623226653645,5.3808858035964136e-08
W3_out_offline_enemy,7045,0.40439399726217506,21.777282168885066,0.0034982287243605636,6.770157336966065e-07
W3_in_online_friend,7045,-0.27601162305416954,23.395629449807938,0.0029201232984082948,5.674253743981339e-06
W3_out_online_enemy,7045,0.33028979090359717,21.94405849584829,0.0023419092168399658,4.833706241469393e-05
