variable,missing_n,missing_pct
W2_out_online_friend,0,0.0
W2_in_online_friend,0,0.0
W2_out_online_enemy,0,0.0
W2_in_online_enemy,0,0.0
W2_out_offline_friend,0,0.0
W2_in_offline_friend,0,0.0
W2_out_offline_enemy,0,0.0
W2_in_offline_enemy,0,0.0
W2_depression_total,0,0.0
