variable,count,mean,std,min,5%,25%,50%,75%,95%,max
W2_out_online_friend,7045.0,3.1964513839602553,1.647452186236064,0.0,0.0,2.0,4.0,5.0,5.0,5.0
W2_in_online_friend,7045.0,3.1964513839602553,2.2607592234492797,0.0,0.0,2.0,3.0,5.0,7.0,16.0
W2_out_online_enemy,7045.0,1.488431511710433,1.6720090626361006,0.0,0.0,0.0,1.0,3.0,5.0,5.0
W2_in_online_enemy,7045.0,1.488431511710433,2.3908989838956245,0.0,0.0,0.0,1.0,2.0,6.0,22.0
W2_out_offline_friend,7045.0,3.3646557842441447,1.558903978498672,0.0,0.0,2.0,4.0,5.0,5.0,5.0
W2_in_offline_friend,7045.0,3.3646557842441447,2.302512000395294,0.0,0.0,2.0,3.0,5.0,7.0,14.0
W2_out_offline_enemy,7045.0,1.673527324343506,1.6757749207985735,0.0,0.0,0.0,1.0,3.0,5.0,5.0
W2_in_offline_enemy,7045.0,1.673527324343506,2.661616265025316,0.0,0.0,0.0,1.0,2.0,7.0,25.0
W2_depression_total,7045.0,21.527608232789213,10.561358269686263,14.0,14.0,14.0,17.0,25.0,45.0,70.0
