feature,vif,r2_of_feature_on_others
W2_in_offline_enemy,7.439032607400369,0.8655739189790354
W2_in_online_enemy,7.363222397798343,0.8641898959484088
W2_in_offline_friend,3.612907239906099,0.7232145932354492
W2_in_online_friend,3.51356503027609,0.715388788486029
W2_out_online_enemy,2.62748134769755,0.6194073838521078
W2_out_offline_enemy,2.60434175106685,0.6160258155096745
W2_out_online_friend,2.1177673672519166,0.5278046042905873
W2_out_offline_friend,2.057583421093974,0.5139929736271296
