Category,W2_count,W2_pct,W3_count,W3_pct
14-19,4335,60.41811846689895,4120,57.42160278745645
20-29,1704,23.749128919860627,1728,24.083623693379792
30+,1136,15.83275261324042,1327,18.49477351916376
