col_index,ver11_col,ver00_col,raw_value,clean_value
11,5-1,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,有時,3.0
11,5-1,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,經常,4.0
12,5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,偶爾,2.0
12,5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,從未,1.0
12,5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,有時,3.0
12,5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,經常,4.0
13,5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,偶爾,2.0
13,5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,從未,1.0
13,5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,有時,3.0
13,5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,經常,4.0
14,5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,偶爾,2.0
14,5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,從未,1.0
14,5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,有時,3.0
14,5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,經常,4.0
15,5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,偶爾,2.0
15,5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,從未,1.0
15,5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,有時,3.0
15,5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,經常,4.0
16,5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,偶爾,2.0
16,5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,從未,1.0
16,5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,有時,3.0
16,5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,經常,4.0
17,5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,偶爾,2.0
17,5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,從未,1.0
17,5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,有時,3.0
17,5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,經常,4.0
18,5-8,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,偶爾,2.0
18,5-8,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,從未,1.0
18,5-8,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,有時,3.0
18,5-8,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,經常,4.0
19,5-9,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,偶爾,2.0
19,5-9,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,從未,1.0
19,5-9,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,有時,3.0
19,5-9,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,經常,4.0
20,5-10,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,偶爾,2.0
20,5-10,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,從未,1.0
20,5-10,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,有時,3.0
20,5-10,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,經常,4.0
21,6-1,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手,不太符合,2.0
21,6-1,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手,很不符合,1.0
21,6-1,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手,很符合,4.0
22,6-2,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手,不太符合,2.0
22,6-2,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手,很不符合,1.0
22,6-2,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手,很符合,4.0
23,6-3,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴,不太符合,2.0
23,6-3,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴,很不符合,1.0
23,6-3,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴,很符合,4.0
24,7,7.請問你的座號是？,1,1
24,7,7.請問你的座號是？,10,10
24,7,7.請問你的座號是？,100,100
24,7,7.請問你的座號是？,11,11
24,7,7.請問你的座號是？,12,12
24,7,7.請問你的座號是？,13,13
24,7,7.請問你的座號是？,14,14
24,7,7.請問你的座號是？,15,15
24,7,7.請問你的座號是？,16,16
24,7,7.請問你的座號是？,17,17
24,7,7.請問你的座號是？,18,18
24,7,7.請問你的座號是？,19,19
24,7,7.請問你的座號是？,2,2
24,7,7.請問你的座號是？,20,20
24,7,7.請問你的座號是？,21,21
24,7,7.請問你的座號是？,22,22
24,7,7.請問你的座號是？,23,23
24,7,7.請問你的座號是？,24,24
24,7,7.請問你的座號是？,25,25
24,7,7.請問你的座號是？,26,26
24,7,7.請問你的座號是？,27,27
24,7,7.請問你的座號是？,28,28
24,7,7.請問你的座號是？,29,29
24,7,7.請問你的座號是？,3,3
24,7,7.請問你的座號是？,30,30
24,7,7.請問你的座號是？,31,31
24,7,7.請問你的座號是？,32,32
24,7,7.請問你的座號是？,33,33
24,7,7.請問你的座號是？,34,34
24,7,7.請問你的座號是？,35,35
24,7,7.請問你的座號是？,36,36
24,7,7.請問你的座號是？,37,37
24,7,7.請問你的座號是？,38,38
24,7,7.請問你的座號是？,39,39
24,7,7.請問你的座號是？,4,4
24,7,7.請問你的座號是？,40,40
24,7,7.請問你的座號是？,41,41
24,7,7.請問你的座號是？,42,42
24,7,7.請問你的座號是？,43,43
24,7,7.請問你的座號是？,44,44
24,7,7.請問你的座號是？,45,45
24,7,7.請問你的座號是？,46,46
24,7,7.請問你的座號是？,47,47
24,7,7.請問你的座號是？,48,48
24,7,7.請問你的座號是？,49,49
24,7,7.請問你的座號是？,5,5
24,7,7.請問你的座號是？,6,6
24,7,7.請問你的座號是？,7,7
24,7,7.請問你的座號是？,8,8
24,7,7.請問你的座號是？,9,9
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,0,0
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1,1
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,10,10
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,100,100
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1000,1000
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,11,11
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1110038,1110038
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,115,115
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,12,12
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,123,123
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,123458910111213,123458910111213
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1277474,1277474
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,13,13
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,14,14
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,14141,14141
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,15,15
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1515,1515
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1534153410,1534153410
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,16,16
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,17,17
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,17147,17147
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,18,18
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1814,1814
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,19,19
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,1919,1919
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,2,2
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,20,20
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？,21,21
