analysis_id,stage,wave,group_def,n_low,n_high,mean_low,mean_high,sd_low,sd_high,mean_diff_high_minus_low,t_stat_welch,p_value_welch,cohen_d
w2_activity_main,stage1,w2,high_activity = online_activity_sum > wave_median,3574,3078,1.460028779278919,1.6232943469785575,0.6864938387948193,0.8096677534417253,0.1632655676996384,-8.791900642703215,1.8891614738951353e-18,-0.21884892031381872
w2_nomination_out_main,stage1,w2,high_nomination_out_main = class_z_nom_out > 0,3641,3072,1.4902499313375446,1.5879371279761907,0.7148988332315169,0.7862605832013951,0.09768719663864611,-5.285356559624669,1.2969452428646288e-07,-0.130528161578674
w2_nomination_in_main,stage1,w2,high_nomination_in_main = class_z_nom_in > 0,3151,3562,1.555923289658612,1.516403304724473,0.758868868049676,0.741535176571335,-0.039519984934138996,2.152362784711061,0.03140509495428862,0.0527129119408015
w2_nomination_total_main,stage1,w2,high_nomination_total_main = class_z_nom_total > 0,3124,3589,1.5368575086884948,1.5332961827807188,0.7423363190959791,0.7565674364864162,-0.003561325907776025,0.19432026419639123,0.8459310857658595,0.004748570649581134
w3_activity_main,stage1,w3,high_activity = online_activity_sum > wave_median,3394,3319,1.543227544406095,1.67531098007145,0.7931675656799386,0.8905458196821257,0.13208343566535508,-6.4121957410942745,1.5337522413052933e-10,-0.1567346461476321
w3_nomination_out_main,stage1,w3,high_nomination_out_main = class_z_nom_out > 0,3395,3318,1.560908899642331,1.6572591061741153,0.7970227186784165,0.8893694413763423,0.09635020653178428,-4.6709138097149605,3.058056390998932e-06,-0.1141684535258271
w3_nomination_in_main,stage1,w3,high_nomination_in_main = class_z_nom_in > 0,3267,3446,1.6010319646683282,1.6156413232733604,0.8265968583557847,0.8626050291979723,0.014609358605032208,-0.708600900773555,0.4785967923111335,-0.01728360221586883
w3_nomination_total_main,stage1,w3,high_nomination_total_main = class_z_nom_total > 0,3254,3459,1.5952893142505926,1.6209887250650477,0.81649199048337,0.871355814140687,0.025699410814455037,-1.2475195663216228,0.21225058106244177,-0.030406065194877277
