scenario,feature_year,target_year,target_group_id,n_feature_groups_requested,n_feature_columns_requested,target_median_cutoff,target_positive_rate,model_type,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_na_features,c_selected,train_accuracy,train_f1,train_precision,train_recall,train_auc,test_accuracy,test_f1,test_precision,test_recall,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_precision_mean,cv5_precision_std,cv5_recall_mean,cv5_recall_std,cv5_auc_mean,cv5_auc_std
w2_predict_w2,W2,W2,v55,26,33,17.0,0.5415720127214902,lasso,6603,5282,1321,33,33,,0.06309573444801936,0.7478227943960621,0.7672142607479903,0.7672142607479903,0.7672142607479903,0.8213421793837302,0.7426192278576835,0.7629009762900977,0.760778859527121,0.765034965034965,0.8319670428581319,0.7404201362604088,0.013637933553387483,0.7603958222391946,0.014868997842478028,0.7597800250668976,0.007957645305634751,0.7611743563698872,0.022536628524725016,0.8196197852234338,0.013758186010765389
w2_predict_w2,W2,W2,v55,26,33,17.0,0.5415720127214902,ridge,6603,5282,1321,33,33,,0.01,0.743847027641045,0.7644088455511057,0.7616238723108952,0.7672142607479903,0.8214311134326363,0.74110522331567,0.7618384401114207,0.7586685159500693,0.765034965034965,0.8320247409356321,0.7402682770169523,0.012121016726120992,0.7606541839905891,0.013142069788007473,0.7588996885343929,0.007624345477241525,0.7625733484392703,0.020301767023704335,0.8196304550378182,0.01416227931039832
w2_predict_w3,W2,W3,54,26,33,21.0,0.526124488868696,lasso,6603,5282,1321,33,33,,0.25118864315095824,0.6573267701628172,0.6756272401433692,0.6729739378793288,0.6783015473191796,0.7150506833325738,0.6548069644208933,0.6742857142857143,0.6695035460992907,0.679136690647482,0.7179350449352977,0.6513746473057601,0.01436373816020526,0.6708998877631803,0.014657958188124078,0.6663409082623397,0.012397425500657023,0.675599693156138,0.018218871552226765,0.7099569243042742,0.01090060729642677
w2_predict_w3,W2,W3,54,26,33,21.0,0.526124488868696,ridge,6603,5282,1321,33,33,,0.00630957344480193,0.6573267701628172,0.676670239371204,0.6718694572543455,0.6815401223461677,0.7146185282950132,0.6548069644208933,0.6756756756756757,0.6680731364275668,0.6834532374100719,0.7178522996299446,0.6507684720023856,0.012835720574698931,0.6710782008674138,0.013364198441203056,0.665022039177015,0.01086496759243371,0.6773258972073062,0.017271775389365328,0.7100636559204856,0.010960849304248284
w3_predict_w3,W3,W3,54,24,31,21.0,0.526124488868696,lasso,6603,5282,1321,31,31,,0.15848931924611143,0.6719045815978796,0.6909220617085786,0.6849363507779349,0.6970133141417776,0.7345266284992016,0.6608629825889477,0.6748911465892597,0.6808199121522694,0.6690647482014388,0.7362217574183465,0.6657603284931067,0.012897277392572118,0.6855110155499083,0.013331967639313868,0.6786688589220959,0.010862348641997472,0.6925814276532665,0.01738930432128305,0.729324117152568,0.016275599545710888
w3_predict_w3,W3,W3,54,24,31,21.0,0.526124488868696,ridge,6603,5282,1321,31,31,,0.00630957344480193,0.6728511927300265,0.6927453769559033,0.6847100175746924,0.7009715725080964,0.7342265927163043,0.6593489780469342,0.6753246753246753,0.6772793053545586,0.6733812949640288,0.7361298181901763,0.6643972656160393,0.0137641778854876,0.6850105451353987,0.015299931667167383,0.6764158440846821,0.010741058073501359,0.6940202765741297,0.022354208616276038,0.7296484300032146,0.01610454949805836
