scenario,model_type,feature,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,ridge,v1,0.2548835165044353,3.989686123754947,negative
w2_predict_w2,ridge,v54_2,0.17278847593234095,2.704654244520478,positive
w2_predict_w2,ridge,v54_1,0.16178957952623982,2.5324887590082903,positive
w2_predict_w2,ridge,v54_4,0.15246240430513439,2.386490688737521,negative
w2_predict_w2,ridge,v54_6,0.15169942354296284,2.3745477675110918,negative
w2_predict_w2,ridge,v6_1,0.1446627980057231,2.2644036214752825,positive
w2_predict_w2,ridge,v19_3,0.12941936671856144,2.0257985240611367,negative
w2_predict_w2,ridge,v28_6,0.1269455219628149,1.987075486064467,positive
w2_predict_w2,ridge,v54_5,0.12198039346878618,1.9093564380579167,negative
w2_predict_w2,ridge,v26_3,0.12097223770241176,1.8935757978390046,negative
w2_predict_w2,ridge,v42_14,0.11917957850587124,1.8655153425410453,negative
w2_predict_w2,ridge,v5_5,0.11731965076757436,1.8364019342263855,negative
w2_predict_w2,ridge,v54_20,0.11594844840592142,1.814938533571163,negative
w2_predict_w2,ridge,v38,0.10977558010258093,1.718314760675375,positive
w2_predict_w2,ridge,v49,0.10435077992213443,1.6334004817887133,negative
w2_predict_w2,ridge,v27_4,0.09926153583954196,1.5537386551818606,negative
w2_predict_w2,ridge,v28_7,0.09648734570986402,1.5103143175988478,positive
w2_predict_w2,ridge,v54_12,0.0961091069760743,1.504393754949826,negative
w2_predict_w2,ridge,v54_18,0.09475546112769126,1.4832051660138352,positive
w2_predict_w2,ridge,v25_6,0.09352124726937036,1.4638860434129697,negative
w2_predict_w2,ridge,v54_8,0.09342417351227299,1.4623665500107141,negative
w2_predict_w2,ridge,v27_2,0.09177611599679375,1.4365695416720319,positive
w2_predict_w2,ridge,v34,0.08947164406415674,1.4004976927807575,positive
w2_predict_w2,ridge,v54_3,0.08857947351755699,1.38653256667685,positive
w2_predict_w2,ridge,v26_4,0.08734960643555421,1.3672814840708702,positive
w2_predict_w2,ridge,v19_9,0.08487063800453262,1.3284782452968897,positive
w2_predict_w2,ridge,v19_10,0.08437692052902729,1.320750096422874,positive
w2_predict_w2,ridge,v22_1,0.08395584420726508,1.314158997943788,positive
w2_predict_w2,ridge,v25_13,0.0805186469429351,1.2603566241450603,positive
w2_predict_w2,ridge,v25_8,0.08037871016069392,1.258166196745253,negative
w2_predict_w2,ridge,v28_4,0.07913132656103385,1.2386409284704931,positive
w2_predict_w2,ridge,v28_10,0.07839438585651926,1.227105611698524,positive
w2_predict_w2,ridge,v36,0.07726899923887252,1.2094899595219482,positive
w2_predict_w2,ridge,v54_16,0.07653372490406558,1.1979807263986624,negative
w2_predict_w2,ridge,v22_4,0.07240422221817305,1.1333417109383295,positive
w2_predict_w2,ridge,v25_5,0.07041657269255888,1.1022290762729452,negative
w2_predict_w2,ridge,v23_9,0.07021640706094599,1.0990958880077688,positive
w2_predict_w2,ridge,v26_5,0.0698922791129799,1.0940223203088588,positive
w2_predict_w2,ridge,v54_14,0.06976869712995161,1.0920878942243635,positive
w2_predict_w2,ridge,v22_3,0.06892088243317522,1.0788170692701518,positive
w2_predict_w2,ridge,v54_10,0.06770224490472349,1.0597417626209424,negative
w2_predict_w2,ridge,v54_19,0.06628569793089018,1.0375685837404185,positive
w2_predict_w2,ridge,v40,0.06522804852329174,1.021013220635093,positive
w2_predict_w2,ridge,v42_13,0.06379578334171701,0.9985940049916734,positive
w2_predict_w2,ridge,v25_7,0.0627392832119595,0.9820566315073215,positive
w2_predict_w2,ridge,v6_6,0.061163655154755456,0.9573933598990275,positive
w2_predict_w2,ridge,v42_03,0.06051511502937284,0.9472417754638203,negative
w2_predict_w2,ridge,v5_3,0.05921382290435486,0.9268726782176064,negative
w2_predict_w2,ridge,v42_10,0.05473567070117746,0.8567762594687359,negative
w2_predict_w2,ridge,v23_8,0.05191788537695361,0.8126695272564919,positive
w2_predict_w2,ridge,v23_5,0.050806343671162095,0.7952705891831694,negative
w2_predict_w2,ridge,v25_4,0.050590908929076174,0.7918983938648427,negative
w2_predict_w2,ridge,v6_8,0.0477895268118579,0.7480484206940334,positive
w2_predict_w2,ridge,v23_3,0.04711569707050927,0.7375009784517839,negative
w2_predict_w2,ridge,v6_3,0.04710578751314903,0.7373458643665936,negative
w2_predict_w2,ridge,v28_1,0.046116639942684,0.7218627590236021,positive
w2_predict_w2,ridge,v27_3,0.045889637651454325,0.7183094971108653,negative
w2_predict_w2,ridge,v19_6,0.04542673175156043,0.7110636411577643,negative
w2_predict_w2,ridge,v26_2,0.04533368029484435,0.7096071087356339,positive
w2_predict_w2,ridge,v6_7,0.04212344988773877,0.6593574422019315,positive
w2_predict_w2,ridge,v22_5,0.04170234619525802,0.6527659152895853,negative
w2_predict_w2,ridge,v5_4,0.040512746095338975,0.6341451308757688,negative
w2_predict_w2,ridge,v42_04,0.03907739697047498,0.6116776423353162,positive
w2_predict_w2,ridge,v42_09,0.038314581340989494,0.5997373059272194,positive
w2_predict_w2,ridge,v22_6,0.0374413863159761,0.5860692032487663,positive
w2_predict_w2,ridge,v19_2,0.03704968393307725,0.5799378943939386,negative
w2_predict_w2,ridge,v6_2,0.03642455846318342,0.5701528190503246,negative
w2_predict_w2,ridge,v25_14,0.03583929556859341,0.5609917117283695,positive
w2_predict_w2,ridge,v3,0.03517423908362443,0.5505815970768486,negative
w2_predict_w2,ridge,v42_05,0.03482811464599044,0.5451637188050038,negative
w2_predict_w2,ridge,v25_9,0.032906850351549416,0.5150902107150296,negative
w2_predict_w2,ridge,v23_2,0.03239833018606848,0.507130355657735,positive
w2_predict_w2,ridge,v42_06,0.032242236093266076,0.5046870182281722,positive
w2_predict_w2,ridge,v19_7,0.031187816255413527,0.48818220750762864,negative
w2_predict_w2,ridge,v27_1,0.028036036001077475,0.43884745994018215,positive
w2_predict_w2,ridge,v42_02,0.027105620968174544,0.424283693726445,positive
w2_predict_w2,ridge,v28_3,0.026676669027495888,0.4175693183562605,negative
w2_predict_w2,ridge,v23_1,0.026247582073973378,0.41085282963297637,positive
w2_predict_w2,ridge,v22_2,0.02596853421006784,0.4064848995064787,negative
w2_predict_w2,ridge,v28_9,0.025724727953337193,0.4026686054883209,negative
w2_predict_w2,ridge,v28_5,0.024967875572674835,0.3908216116839689,negative
w2_predict_w2,ridge,v6_10,0.02413626016291232,0.37780435381601035,positive
w2_predict_w2,ridge,v5_2,0.023261577098116475,0.36411295888330314,negative
w2_predict_w2,ridge,v54_11,0.02302506659856768,0.36041086519316146,negative
