scenario,model_type,feature,shap_abs_mean,coef,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,ridge,v1,0.25475027952843504,-0.2548835165044353,0.2548835165044353,3.989686123754947,negative
w2_predict_w2,ridge,v54_2,0.14757841115280315,0.17278847593234095,0.17278847593234095,2.704654244520478,positive
w2_predict_w2,ridge,v54_1,0.13997565955028698,0.16178957952623982,0.16178957952623982,2.5324887590082903,positive
w2_predict_w2,ridge,v6_1,0.12458175294287337,0.1446627980057231,0.1446627980057231,2.2644036214752825,positive
w2_predict_w2,ridge,v28_6,0.11123942229099025,0.1269455219628149,0.1269455219628149,1.987075486064467,positive
w2_predict_w2,ridge,v19_3,0.11016591004643347,-0.12941936671856144,0.12941936671856144,2.0257985240611367,negative
w2_predict_w2,ridge,v54_4,0.10541537329966973,-0.15246240430513439,0.15246240430513439,2.386490688737521,negative
w2_predict_w2,ridge,v54_6,0.10354221927866908,-0.15169942354296284,0.15169942354296284,2.3745477675110918,negative
w2_predict_w2,ridge,v26_3,0.09510090978168814,-0.12097223770241176,0.12097223770241176,1.8935757978390046,negative
w2_predict_w2,ridge,v5_5,0.09360760983002941,-0.11731965076757436,0.11731965076757436,1.8364019342263855,negative
w2_predict_w2,ridge,v42_14,0.0929959844147766,-0.11917957850587124,0.11917957850587124,1.8655153425410453,negative
w2_predict_w2,ridge,v54_18,0.08527306903544986,0.09475546112769126,0.09475546112769126,1.4832051660138352,positive
w2_predict_w2,ridge,v54_5,0.08427668467604037,-0.12198039346878618,0.12198039346878618,1.9093564380579167,negative
w2_predict_w2,ridge,v34,0.08338769881499472,0.08947164406415674,0.08947164406415674,1.4004976927807575,positive
w2_predict_w2,ridge,v28_7,0.08312957450216352,0.09648734570986402,0.09648734570986402,1.5103143175988478,positive
w2_predict_w2,ridge,v27_4,0.0820629492487843,-0.09926153583954196,0.09926153583954196,1.5537386551818606,negative
w2_predict_w2,ridge,v54_20,0.08136789104852506,-0.11594844840592142,0.11594844840592142,1.814938533571163,negative
w2_predict_w2,ridge,v25_6,0.080086681559654,-0.09352124726937036,0.09352124726937036,1.4638860434129697,negative
w2_predict_w2,ridge,v19_10,0.07813352413636329,0.08437692052902729,0.08437692052902729,1.320750096422874,positive
w2_predict_w2,ridge,v54_3,0.07805021932518386,0.08857947351755699,0.08857947351755699,1.38653256667685,positive
w2_predict_w2,ridge,v54_12,0.07694971337650933,-0.0961091069760743,0.0961091069760743,1.504393754949826,negative
w2_predict_w2,ridge,v27_2,0.07311558211931901,0.09177611599679375,0.09177611599679375,1.4365695416720319,positive
w2_predict_w2,ridge,v22_1,0.07234563508751642,0.08395584420726508,0.08395584420726508,1.314158997943788,positive
w2_predict_w2,ridge,v19_9,0.070523159690819,0.08487063800453262,0.08487063800453262,1.3284782452968897,positive
w2_predict_w2,ridge,v28_4,0.06985996990411458,0.07913132656103385,0.07913132656103385,1.2386409284704931,positive
w2_predict_w2,ridge,v25_13,0.06980038098597531,0.0805186469429351,0.0805186469429351,1.2603566241450603,positive
w2_predict_w2,ridge,v25_8,0.0669925885357099,-0.08037871016069392,0.08037871016069392,1.258166196745253,negative
w2_predict_w2,ridge,v49,0.06608947016499574,-0.10435077992213443,0.10435077992213443,1.6334004817887133,negative
w2_predict_w2,ridge,v28_10,0.06597619039449018,0.07839438585651926,0.07839438585651926,1.227105611698524,positive
w2_predict_w2,ridge,v26_4,0.06466842781683238,0.08734960643555421,0.08734960643555421,1.3672814840708702,positive
w2_predict_w2,ridge,v38,0.0643276372928074,0.10977558010258093,0.10977558010258093,1.718314760675375,positive
w2_predict_w2,ridge,v54_8,0.0628211555074011,-0.09342417351227299,0.09342417351227299,1.4623665500107141,negative
w2_predict_w2,ridge,v22_4,0.06174633356677121,0.07240422221817305,0.07240422221817305,1.1333417109383295,positive
w2_predict_w2,ridge,v22_3,0.0607399015481104,0.06892088243317522,0.06892088243317522,1.0788170692701518,positive
w2_predict_w2,ridge,v54_10,0.060679617192124384,-0.06770224490472349,0.06770224490472349,1.0597417626209424,negative
w2_predict_w2,ridge,v54_14,0.060135971736701335,0.06976869712995161,0.06976869712995161,1.0920878942243635,positive
w2_predict_w2,ridge,v54_16,0.05908754791450968,-0.07653372490406558,0.07653372490406558,1.1979807263986624,negative
w2_predict_w2,ridge,v54_19,0.0573857711955192,0.06628569793089018,0.06628569793089018,1.0375685837404185,positive
w2_predict_w2,ridge,v23_9,0.056921233825551476,0.07021640706094599,0.07021640706094599,1.0990958880077688,positive
w2_predict_w2,ridge,v36,0.056613169138748046,0.07726899923887252,0.07726899923887252,1.2094899595219482,positive
w2_predict_w2,ridge,v25_5,0.055446078610579645,-0.07041657269255888,0.07041657269255888,1.1022290762729452,negative
w2_predict_w2,ridge,v26_5,0.053946608920767664,0.0698922791129799,0.0698922791129799,1.0940223203088588,positive
w2_predict_w2,ridge,v25_7,0.05307817282724919,0.0627392832119595,0.0627392832119595,0.9820566315073215,positive
w2_predict_w2,ridge,v5_3,0.04619884787562899,-0.05921382290435486,0.05921382290435486,0.9268726782176064,negative
w2_predict_w2,ridge,v23_8,0.04618253837317959,0.05191788537695361,0.05191788537695361,0.8126695272564919,positive
w2_predict_w2,ridge,v6_6,0.04487345458917093,0.061163655154755456,0.061163655154755456,0.9573933598990275,positive
w2_predict_w2,ridge,v6_3,0.041356160457604395,-0.04710578751314903,0.04710578751314903,0.7373458643665936,negative
w2_predict_w2,ridge,v23_5,0.04078547769423399,-0.050806343671162095,0.050806343671162095,0.7952705891831694,negative
w2_predict_w2,ridge,v26_2,0.03993168667405635,0.04533368029484435,0.04533368029484435,0.7096071087356339,positive
w2_predict_w2,ridge,v23_3,0.039373343443131974,-0.04711569707050927,0.04711569707050927,0.7375009784517839,negative
w2_predict_w2,ridge,v27_3,0.038942139865240796,-0.045889637651454325,0.045889637651454325,0.7183094971108653,negative
