wave,feature,median_cutoff_depression_total,n_valid_total,n_high_ge_median,n_low_lt_median,mean_high,mean_low,mean_diff_high_minus_low,median_high,median_low,median_diff_high_minus_low,std_high,std_low
W2,out_online_friend,17.0,7045,3804,3241,3.143796004206099,3.258253625424252,-0.11445762121815273,4.0,4.0,0.0,1.6415861369070532,1.6524244921692963
W2,in_online_friend,17.0,7045,3804,3241,3.167718191377497,3.2301758716445543,-0.062457680267057114,3.0,3.0,0.0,2.212067148897958,2.3164927192724636
W2,out_online_enemy,17.0,7045,3804,3241,1.610410094637224,1.3452638074668313,0.2651462871703927,1.0,1.0,0.0,1.7069430043973184,1.6186270854659184
W2,in_online_enemy,17.0,7045,3804,3241,1.5189274447949528,1.4526380746683123,0.06628937012664049,1.0,1.0,0.0,2.3722493502467636,2.412479127042153
W2,out_offline_friend,17.0,7045,3804,3241,3.3477917981072554,3.384449244060475,-0.036657445953219625,4.0,4.0,0.0,1.5554330362781752,1.5629759760857451
W2,in_offline_friend,17.0,7045,3804,3241,3.305205047318612,3.434433816723234,-0.1292287694046217,3.0,3.0,0.0,2.2540848443265946,2.356519534543102
W2,out_offline_enemy,17.0,7045,3804,3241,1.8462145110410095,1.470842332613391,0.3753721784276185,2.0,1.0,1.0,1.6928983069316792,1.6325673374303535
W2,in_offline_enemy,17.0,7045,3804,3241,1.7071503680336488,1.6340635606294354,0.07308680740421347,1.0,1.0,0.0,2.6171105856477914,2.712795434380983
W3,out_online_friend,18.0,7045,3590,3455,3.072701949860724,3.2188133140376265,-0.1461113641769023,3.0,4.0,-1.0,1.6295222169821548,1.6312113159971167
W3,in_online_friend,18.0,7045,3590,3455,3.0774373259052923,3.213892908827786,-0.1364555829224936,3.0,3.0,0.0,2.269675583965647,2.3553050384358163
W3,out_online_enemy,18.0,7045,3590,3455,1.8167130919220056,1.7157742402315486,0.10093885169045702,1.0,1.0,0.0,1.723374227471901,1.7374656836065285
W3,in_online_enemy,18.0,7045,3590,3455,1.8696378830083566,1.660781476121563,0.20885640688679374,1.0,1.0,0.0,3.246319068991945,3.078703013247546
W3,out_offline_friend,18.0,7045,3590,3455,3.1857938718662955,3.2552821997105643,-0.06948832784426884,3.0,4.0,-1.0,1.5915522569629823,1.634957673828281
W3,in_offline_friend,18.0,7045,3590,3455,3.1465181058495824,3.2960926193921853,-0.14957451354260298,3.0,3.0,0.0,2.266632679713045,2.363720265726018
W3,out_offline_enemy,18.0,7045,3590,3455,1.9467966573816156,1.7612156295224313,0.1855810278591843,2.0,1.0,1.0,1.730106299515513,1.720647029425691
W3,in_offline_enemy,18.0,7045,3590,3455,1.9373259052924792,1.771056439942113,0.16626946535036624,1.0,1.0,0.0,3.3980350282379397,3.2850447052803218
