scenario,model_type,feature,shap_abs_mean,coef,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,ridge,feature_v52,0.49465263246427704,-0.6153864917696557,0.6153864917696557,14.581867604010757,negative
w2_predict_w2,ridge,feature_v54_A,0.3393460116507707,0.4090879938446025,0.4090879938446025,9.693529260738487,positive
w2_predict_w2,ridge,feature_v1_male,0.27968812506358137,-0.2798344047853434,0.2798344047853434,6.630805674483995,negative
w2_predict_w2,ridge,feature_v8_03-v8_06,0.2584194533142128,0.3278400636691858,0.3278400636691858,7.768321969446013,positive
w2_predict_w2,ridge,feature_v28,0.22643509583556534,0.2865023313530799,0.2865023313530799,6.788805279129842,positive
w2_predict_w2,ridge,feature_v54_B,0.20250324527115424,-0.28396751513739343,0.28396751513739343,6.728741636277774,negative
w2_predict_w2,ridge,feature_v5,0.18607154660316721,-0.22746050613657798,0.22746050613657798,5.389781917517881,negative
w2_predict_w2,ridge,feature_v26_B,0.16474904625788842,0.2196767965352496,0.2196767965352496,5.2053433177230675,positive
w2_predict_w2,ridge,feature_v54_E,0.15803088690052305,-0.21706996732781553,0.21706996732781553,5.143573293717893,negative
w2_predict_w2,ridge,feature_v22,0.09894144839929608,0.12414988833210713,0.12414988833210713,2.94178903652167,positive
w2_predict_w2,ridge,feature_v27_B,0.09817565759615249,-0.11875111294754812,0.11875111294754812,2.813862556278261,negative
w2_predict_w2,ridge,feature_v6,0.07877594135498074,0.10313655383167139,0.10313655383167139,2.443868354637677,positive
w2_predict_w2,ridge,feature_v12,0.06975600424529749,-0.09235938549930103,0.09235938549930103,2.188498365418633,negative
w2_predict_w2,ridge,feature_v54_D,0.0674908472197231,0.08454213599325404,0.08454213599325404,2.0032650220657486,positive
w2_predict_w2,ridge,feature_v23_C,0.0669468190272904,0.08019631795224204,0.08019631795224204,1.9002888531821482,positive
w2_predict_w2,ridge,feature_v38,0.06052486691210987,0.10328612483721956,0.10328612483721956,2.4474125088065963,positive
w2_predict_w2,ridge,feature_v49,0.052156599124563885,-0.0823517238547483,0.0823517238547483,1.951362193145896,negative
w2_predict_w2,ridge,feature_v54_F,0.05127977297832816,0.06359831917169237,0.06359831917169237,1.5069915937419767,positive
w2_predict_w2,ridge,feature_v36,0.05063604418814077,0.06911106584130453,0.06911106584130453,1.637618676308529,positive
w2_predict_w2,ridge,feature_v26_A,0.03933771801015719,-0.047793394773935884,0.047793394773935884,1.132486598683116,negative
w2_predict_w2,ridge,feature_v23_B,0.03661844471188749,-0.045269195214777305,0.045269195214777305,1.0726745224188061,negative
w2_predict_w2,ridge,feature_v40,0.034414105094774126,0.0654067112959775,0.0654067112959775,1.5498422817000932,positive
