scenario,feature_year,target_year,target_group_id,n_feature_groups_requested,n_feature_columns_requested,target_median_cutoff,target_positive_rate,model_type,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_na_features,c_selected,train_accuracy,train_f1,train_precision,train_recall,train_auc,test_accuracy,test_f1,test_precision,test_recall,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_precision_mean,cv5_precision_std,cv5_recall_mean,cv5_recall_std,cv5_auc_mean,cv5_auc_std
w2_predict_w2,W2,W2,v55,23,30,17.0,0.5415720127214902,lasso,6603,5282,1321,30,30,,0.06309573444801936,0.7355168496781522,0.7564929405612689,0.7545201668984701,0.7584760573226145,0.8139428232027202,0.7418622255866768,0.7643400138217,0.755464480874317,0.7734265734265734,0.8170070853239171,0.7340574174752827,0.016159744241272166,0.7553490746860423,0.015906827105539766,0.752439761767649,0.013271746274976088,0.7583787162558112,0.020265371075613745,0.8106423133969024,0.013927607927634644
w2_predict_w2,W2,W2,v55,23,30,17.0,0.5415720127214902,ridge,6603,5282,1321,30,30,,0.01584893192461114,0.7387353275274517,0.7597493036211699,0.7568505029483177,0.7626703949667948,0.8142491836763863,0.7373202119606359,0.7611837577426015,0.7493224932249323,0.7734265734265734,0.8168224514759168,0.734967425962884,0.012860701959137872,0.7567322838522765,0.012991450013516313,0.7521797362839285,0.010263324012944103,0.7614556393327343,0.01809841728026265,0.8107380738521348,0.013887903190790342
w2_predict_w3,W2,W3,54,23,30,21.0,0.526124488868696,lasso,6603,5282,1321,30,30,,0.3981071705534973,0.6550549034456645,0.6739441660701503,0.6703453186187255,0.6775818639798489,0.7114842541594922,0.6525359576078729,0.6719085060757684,0.6676136363636364,0.6762589928057554,0.7174086928540235,0.6501624113963251,0.011258807209518386,0.6696133289017522,0.010959733601601282,0.6654255427530236,0.010251708451710691,0.673867683950822,0.01203981215772101,0.7071292704983907,0.010149545263715252
w2_predict_w3,W2,W3,54,23,30,21.0,0.526124488868696,ridge,6603,5282,1321,30,30,,0.01584893192461114,0.654297614539947,0.6738120757413362,0.669031571479248,0.6786613889888449,0.7113765748104793,0.6563209689629069,0.6757142857142857,0.6709219858156028,0.6805755395683454,0.7176638242121958,0.6489509783680867,0.011168329224774216,0.6684607619169196,0.0111096934053183,0.664276158654306,0.009927516009666978,0.672717019467999,0.012724047638888096,0.7073519039995486,0.010153641567893848
w3_predict_w3,W3,W3,54,24,31,21.0,0.526124488868696,lasso,6603,5282,1321,31,31,,0.6309573444801936,0.6717152593714502,0.690025026814444,0.6856127886323268,0.6944944224541202,0.7344955754426103,0.6578349735049205,0.6729377713458755,0.6768558951965066,0.6690647482014388,0.7357183901441147,0.6639432936480627,0.012552632228782145,0.6835464880776477,0.012650554958661223,0.6773121228493867,0.011087479193166105,0.6899906702879771,0.016231668439914512,0.7290901634757638,0.016268025535078102
w3_predict_w3,W3,W3,54,24,31,21.0,0.526124488868696,ridge,6603,5282,1321,31,31,,0.00630957344480193,0.6715259371450208,0.691665185711747,0.6832865168539326,0.7002518891687658,0.7340995052069219,0.6585919757759273,0.6743682310469314,0.6768115942028986,0.6719424460431654,0.7357183901441148,0.6636400339504049,0.014470901086944578,0.6841726683817887,0.015788420238356516,0.675855425312113,0.011519998455997929,0.6928687827835713,0.02228054745104258,0.7293891246263395,0.01618041238435246
